Time Series matched accelerogram: RSN1052_NORTHR_PKC360.AT2
 
Time Step: 0.02 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.02000	       0.00951	                              
       0.04000	       0.01006	                              
       0.06000	       0.01001	                              
       0.08000	       0.01643	                              
       0.10000	       0.01340	                              
       0.12000	      -0.00668	                              
       0.14000	      -0.01092	                              
       0.16000	      -0.00221	                              
       0.18000	       0.00069	                              
       0.20000	      -0.00492	                              
       0.22000	       0.00258	                              
       0.24000	       0.01417	                              
       0.26000	      -0.00495	                              
       0.28000	      -0.01437	                              
       0.30000	       0.00507	                              
       0.32000	       0.02629	                              
       0.34000	       0.01250	                              
       0.36000	      -0.00560	                              
       0.38000	      -0.00890	                              
       0.40000	      -0.00804	                              
       0.42000	      -0.00897	                              
       0.44000	      -0.01195	                              
       0.46000	       0.01453	                              
       0.48000	       0.01132	                              
       0.50000	      -0.01512	                              
       0.52000	      -0.01663	                              
       0.54000	       0.01022	                              
       0.56000	       0.02258	                              
       0.58000	       0.01091	                              
       0.60000	       0.00769	                              
       0.62000	       0.00504	                              
       0.64000	      -0.01668	                              
       0.66000	      -0.00934	                              
       0.68000	      -0.01160	                              
       0.70000	      -0.02921	                              
       0.72000	      -0.00192	                              
       0.74000	       0.01347	                              
       0.76000	       0.03654	                              
       0.78000	       0.01942	                              
       0.80000	      -0.00647	                              
       0.82000	       0.01565	                              
       0.84000	       0.01361	                              
       0.86000	       0.00120	                              
       0.88000	      -0.00455	                              
       0.90000	      -0.01145	                              
       0.92000	      -0.02984	                              
       0.94000	      -0.06049	                              
       0.96000	      -0.02918	                              
       0.98000	       0.03214	                              
       1.00000	       0.05454	                              
       1.02000	       0.04114	                              
       1.04000	       0.01154	                              
       1.06000	      -0.00211	                              
       1.08000	      -0.00735	                              
       1.10000	       0.00818	                              
       1.12000	       0.02065	                              
       1.14000	      -0.00814	                              
       1.16000	      -0.07433	                              
       1.18000	      -0.06597	                              
       1.20000	      -0.00199	                              
       1.22000	       0.04461	                              
       1.24000	       0.02603	                              
       1.26000	       0.00121	                              
       1.28000	       0.01715	                              
       1.30000	       0.00679	                              
       1.32000	       0.01903	                              
       1.34000	       0.01466	                              
       1.36000	       0.00337	                              
       1.38000	      -0.00572	                              
       1.40000	      -0.05677	                              
       1.42000	      -0.07592	                              
       1.44000	      -0.01672	                              
       1.46000	       0.03500	                              
       1.48000	       0.05719	                              
       1.50000	       0.04922	                              
       1.52000	       0.01336	                              
       1.54000	      -0.02773	                              
       1.56000	      -0.00856	                              
       1.58000	       0.01405	                              
       1.60000	      -0.01693	                              
       1.62000	      -0.00385	                              
       1.64000	      -0.01176	                              
       1.66000	       0.01665	                              
       1.68000	       0.06054	                              
       1.70000	       0.06703	                              
       1.72000	       0.09421	                              
       1.74000	       0.02533	                              
       1.76000	      -0.05324	                              
       1.78000	      -0.02248	                              
       1.80000	      -0.00936	                              
       1.82000	      -0.01609	                              
       1.84000	      -0.01448	                              
       1.86000	      -0.03139	                              
       1.88000	      -0.00842	                              
       1.90000	      -0.00554	                              
       1.92000	       0.01691	                              
       1.94000	       0.04501	                              
       1.96000	       0.01306	                              
