Time Series matched accelerogram: RSN139_TABAS_DAY-L1.AT2
 
Time Step: 0.02 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.02000	      -0.00106	                              
       0.04000	      -0.00105	                              
       0.06000	      -0.00086	                              
       0.08000	      -0.00055	                              
       0.10000	      -0.00051	                              
       0.12000	      -0.00068	                              
       0.14000	      -0.00045	                              
       0.16000	       0.00020	                              
       0.18000	       0.00072	                              
       0.20000	       0.00061	                              
       0.22000	      -0.00073	                              
       0.24000	      -0.00085	                              
       0.26000	       0.00313	                              
       0.28000	       0.00429	                              
       0.30000	      -0.00173	                              
       0.32000	      -0.00458	                              
       0.34000	       0.00062	                              
       0.36000	       0.00482	                              
       0.38000	       0.00160	                              
       0.40000	      -0.00171	                              
       0.42000	      -0.00055	                              
       0.44000	       0.00027	                              
       0.46000	      -0.00091	                              
       0.48000	      -0.00218	                              
       0.50000	      -0.00156	                              
       0.52000	       0.00167	                              
       0.54000	       0.00380	                              
       0.56000	       0.00118	                              
       0.58000	      -0.00343	                              
       0.60000	       0.00071	                              
       0.62000	       0.00443	                              
       0.64000	      -0.00213	                              
       0.66000	      -0.00550	                              
       0.68000	      -0.00297	                              
       0.70000	       0.00508	                              
       0.72000	       0.01793	                              
       0.74000	       0.01799	                              
       0.76000	      -0.00171	                              
       0.78000	      -0.01056	                              
       0.80000	       0.00871	                              
       0.82000	       0.02580	                              
       0.84000	       0.01920	                              
       0.86000	      -0.00421	                              
       0.88000	      -0.01268	                              
       0.90000	       0.01631	                              
       0.92000	       0.04061	                              
       0.94000	       0.02872	                              
       0.96000	       0.00795	                              
       0.98000	       0.00085	                              
       1.00000	      -0.00300	                              
       1.02000	      -0.00260	                              
       1.04000	       0.01240	                              
       1.06000	       0.03668	                              
       1.08000	       0.04994	                              
       1.10000	       0.02906	                              
       1.12000	       0.00036	                              
       1.14000	       0.00138	                              
       1.16000	       0.00415	                              
       1.18000	      -0.02051	                              
       1.20000	      -0.03442	                              
       1.22000	      -0.00665	                              
       1.24000	       0.04124	                              
       1.26000	       0.04712	                              
       1.28000	      -0.00611	                              
       1.30000	      -0.04543	                              
       1.32000	      -0.01976	                              
       1.34000	       0.02340	                              
       1.36000	       0.02804	                              
       1.38000	       0.01196	                              
       1.40000	       0.02461	                              
       1.42000	       0.06486	                              
       1.44000	       0.06438	                              
       1.46000	      -0.00323	                              
       1.48000	      -0.02996	                              
       1.50000	       0.01997	                              
       1.52000	       0.06066	                              
       1.54000	       0.04058	                              
       1.56000	      -0.03166	                              
       1.58000	      -0.09364	                              
       1.60000	      -0.08613	                              
       1.62000	      -0.01679	                              
       1.64000	      -0.00135	                              
       1.66000	      -0.06314	                              
       1.68000	      -0.08508	                              
       1.70000	      -0.00701	                              
       1.72000	       0.06068	                              
       1.74000	       0.02165	                              
       1.76000	      -0.04429	                              
       1.78000	      -0.05205	                              
       1.80000	      -0.01628	                              
       1.82000	       0.05872	                              
       1.84000	       0.10058	                              
       1.86000	       0.06646	                              
       1.88000	       0.00547	                              
       1.90000	      -0.03347	                              
       1.92000	      -0.01716	                              
       1.94000	       0.02688	                              
       1.96000	       0.03585	                              
       1.98000	      -0.00713	                              
       2.00000	      -0.03136	                              
       2.02000	      -0.00926	                              
       2.04000	       0.02321	                              
       2.06000	       0.05706	                              
       2.08000	       0.05895	                              
       2.10000	      -0.01858	                              
       2.12000	      -0.06697	                              
       2.14000	       0.01542	                              
       2.16000	       0.07691	                              
       2.18000	       0.03091	                              
       2.20000	      -0.01201	                              
       2.22000	      -0.03175	                              
       2.24000	      -0.03346	                              
       2.26000	       0.01945	                              
       2.28000	       0.06869	                              
       2.30000	       0.01532	                              
       2.32000	      -0.04023	                              
       2.34000	       0.00071	                              
       2.36000	       0.02989	                              
       2.38000	      -0.02009	                              
       2.40000	      -0.06005	                              
       2.42000	      -0.04447	                              
       2.44000	      -0.03052	                              
       2.46000	      -0.04446	                              
       2.48000	      -0.06356	                              
       2.50000	      -0.05405	                              
       2.52000	      -0.03487	                              
       2.54000	      -0.04997	                              
       2.56000	      -0.06996	                              
       2.58000	      -0.08241	                              
       2.60000	      -0.08856	                              
       2.62000	      -0.03324	                              
       2.64000	       0.02924	                              
       2.66000	       0.01645	                              
       2.68000	      -0.02217	                              
       2.70000	      -0.03836	                              
       2.72000	      -0.05460	                              
       2.74000	      -0.07280	                              
       2.76000	      -0.05039	                              
       2.78000	       0.00870	                              
       2.80000	       0.04937	                              
       2.82000	       0.04692	                              
       2.84000	       0.04174	                              
       2.86000	       0.04195	                              
       2.88000	       0.03250	                              
