Time Series matched accelerogram: RSN410_COALINGA_D-PLM270.AT2
 
Time Step: 0.005 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.00500	       0.00098	                              
       0.01000	       0.00097	                              
       0.01500	       0.00096	                              
       0.02000	       0.00096	                              
       0.02500	       0.00095	                              
       0.03000	       0.00095	                              
       0.03500	       0.00097	                              
       0.04000	       0.00098	                              
       0.04500	       0.00100	                              
       0.05000	       0.00101	                              
       0.05500	       0.00101	                              
       0.06000	       0.00100	                              
       0.06500	       0.00099	                              
       0.07000	       0.00099	                              
       0.07500	       0.00099	                              
       0.08000	       0.00101	                              
       0.08500	       0.00105	                              
       0.09000	       0.00108	                              
       0.09500	       0.00109	                              
       0.10000	       0.00108	                              
       0.10500	       0.00103	                              
       0.11000	       0.00094	                              
       0.11500	       0.00081	                              
       0.12000	       0.00067	                              
       0.12500	       0.00055	                              
       0.13000	       0.00047	                              
       0.13500	       0.00048	                              
       0.14000	       0.00058	                              
       0.14500	       0.00077	                              
       0.15000	       0.00101	                              
       0.15500	       0.00123	                              
       0.16000	       0.00137	                              
       0.16500	       0.00141	                              
       0.17000	       0.00133	                              
       0.17500	       0.00117	                              
       0.18000	       0.00098	                              
       0.18500	       0.00083	                              
       0.19000	       0.00076	                              
       0.19500	       0.00081	                              
       0.20000	       0.00097	                              
       0.20500	       0.00119	                              
       0.21000	       0.00141	                              
       0.21500	       0.00157	                              
       0.22000	       0.00157	                              
       0.22500	       0.00132	                              
       0.23000	       0.00082	                              
       0.23500	       0.00013	                              
       0.24000	      -0.00061	                              
       0.24500	      -0.00125	                              
       0.25000	      -0.00162	                              
       0.25500	      -0.00158	                              
       0.26000	      -0.00112	                              
       0.26500	      -0.00029	                              
       0.27000	       0.00080	                              
       0.27500	       0.00197	                              
       0.28000	       0.00296	                              
       0.28500	       0.00358	                              
       0.29000	       0.00378	                              
       0.29500	       0.00361	                              
       0.30000	       0.00322	                              
       0.30500	       0.00281	                              
       0.31000	       0.00264	                              
       0.31500	       0.00278	                              
       0.32000	       0.00325	                              
       0.32500	       0.00395	                              
       0.33000	       0.00475	                              
       0.33500	       0.00540	                              
       0.34000	       0.00572	                              
       0.34500	       0.00545	                              
       0.35000	       0.00446	                              
       0.35500	       0.00287	                              
       0.36000	       0.00092	                              
       0.36500	      -0.00098	                              
       0.37000	      -0.00242	                              
       0.37500	      -0.00309	                              
       0.38000	      -0.00284	                              
       0.38500	      -0.00169	                              
       0.39000	       0.00021	                              
       0.39500	       0.00252	                              
       0.40000	       0.00468	                              
       0.40500	       0.00631	                              
       0.41000	       0.00736	                              
       0.41500	       0.00786	                              
       0.42000	       0.00798	                              
       0.42500	       0.00790	                              
       0.43000	       0.00785	                              
       0.43500	       0.00799	                              
       0.44000	       0.00829	                              
       0.44500	       0.00868	                              
       0.45000	       0.00901	                              
       0.45500	       0.00908	                              
