Time Series matched accelerogram: RSN4455_MONTENE.GRO_HRZ000.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	      -0.00031	                              
       0.02000	       0.00006	                              
       0.03000	       0.00079	                              
       0.04000	       0.00287	                              
       0.05000	       0.00490	                              
       0.06000	       0.00713	                              
       0.07000	       0.00423	                              
       0.08000	       0.00197	                              
       0.09000	      -0.00251	                              
       0.10000	      -0.00619	                              
       0.11000	      -0.00149	                              
       0.12000	       0.00319	                              
       0.13000	       0.00564	                              
       0.14000	       0.00317	                              
       0.15000	      -0.00006	                              
       0.16000	      -0.00200	                              
       0.17000	      -0.00447	                              
       0.18000	       0.00021	                              
       0.19000	       0.00517	                              
       0.20000	       0.00851	                              
       0.21000	       0.00286	                              
       0.22000	      -0.00117	                              
       0.23000	      -0.00514	                              
       0.24000	      -0.00841	                              
       0.25000	      -0.00673	                              
       0.26000	      -0.00341	                              
       0.27000	       0.00018	                              
       0.28000	       0.00317	                              
       0.29000	       0.00681	                              
       0.30000	       0.00174	                              
       0.31000	      -0.00204	                              
       0.32000	       0.00478	                              
       0.33000	       0.00005	                              
       0.34000	      -0.00599	                              
       0.35000	      -0.00613	                              
       0.36000	      -0.00027	                              
       0.37000	       0.00447	                              
       0.38000	       0.00580	                              
       0.39000	       0.00032	                              
       0.40000	      -0.00571	                              
       0.41000	       0.00206	                              
       0.42000	       0.00990	                              
       0.43000	       0.01197	                              
       0.44000	       0.00210	                              
       0.45000	      -0.00488	                              
       0.46000	      -0.00582	                              
       0.47000	      -0.00313	                              
       0.48000	      -0.00015	                              
       0.49000	       0.00162	                              
       0.50000	       0.00362	                              
       0.51000	       0.00604	                              
       0.52000	       0.00904	                              
       0.53000	       0.00578	                              
       0.54000	      -0.00037	                              
       0.55000	      -0.00559	                              
       0.56000	      -0.00051	                              
       0.57000	       0.00557	                              
       0.58000	       0.00026	                              
       0.59000	      -0.00600	                              
       0.60000	      -0.01064	                              
       0.61000	      -0.00465	                              
       0.62000	      -0.00010	                              
       0.63000	       0.00382	                              
       0.64000	       0.00645	                              
       0.65000	       0.00825	                              
       0.66000	       0.00163	                              
       0.67000	      -0.00533	                              
       0.68000	      -0.00935	                              
       0.69000	      -0.00163	                              
       0.70000	       0.00637	                              
       0.71000	       0.00848	                              
       0.72000	       0.00427	                              
       0.73000	      -0.00045	                              
       0.74000	       0.00449	                              
       0.75000	       0.00734	                              
       0.76000	       0.00452	                              
       0.77000	      -0.00024	                              
       0.78000	      -0.00297	                              
       0.79000	       0.00024	                              
       0.80000	       0.00781	                              
       0.81000	       0.00305	                              
       0.82000	      -0.00093	                              
       0.83000	      -0.00507	                              
       0.84000	       0.00085	                              
       0.85000	       0.00410	                              
       0.86000	      -0.00370	                              
       0.87000	      -0.00525	                              
       0.88000	      -0.00189	                              
       0.89000	       0.00170	                              
       0.90000	       0.00522	                              
       0.91000	       0.00059	                              
       0.92000	      -0.00567	                              
       0.93000	      -0.00116	                              
       0.94000	       0.00213	                              
       0.95000	       0.00601	                              
       0.96000	       0.00096	                              
       0.97000	      -0.00536	                              
       0.98000	      -0.00584	                              
       0.99000	      -0.00876	                              
       1.00000	      -0.01370	                              
       1.01000	      -0.00636	                              
       1.02000	       0.00429	                              
       1.03000	       0.00968	                              
       1.04000	       0.00459	                              
       1.05000	      -0.00097	                              
       1.06000	       0.00418	                              
       1.07000	       0.00696	                              
       1.08000	       0.00155	                              
       1.09000	      -0.00320	                              
       1.10000	      -0.00523	                              
       1.11000	       0.00123	                              
       1.12000	       0.00798	                              
       1.13000	      -0.00067	                              
       1.14000	      -0.00602	                              
       1.15000	      -0.00720	                              
       1.16000	      -0.00667	                              
       1.17000	      -0.00287	                              
       1.18000	       0.00132	                              
       1.19000	       0.00192	                              
       1.20000	      -0.00317	                              
       1.21000	      -0.00790	                              
       1.22000	      -0.00919	                              
       1.23000	      -0.01149	                              
       1.24000	      -0.00249	                              
       1.25000	       0.00220	                              
       1.26000	       0.00470	                              
       1.27000	       0.00058	                              
       1.28000	      -0.00418	                              
       1.29000	      -0.00643	                              
       1.30000	      -0.00328	                              
       1.31000	      -0.00340	                              
       1.32000	       0.00076	                              
       1.33000	       0.00656	                              
       1.34000	       0.00894	                              
       1.35000	       0.00150	                              
       1.36000	      -0.00424	                              
       1.37000	      -0.00565	                              
       1.38000	      -0.00166	                              
       1.39000	       0.00584	                              
