Time Series matched accelerogram: RSN496_NAHANNI_S2240.AT2
 
Time Step: 0.0025 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.00250	       0.00920	                              
       0.00500	       0.00916	                              
       0.00750	       0.00912	                              
       0.01000	       0.00908	                              
       0.01250	       0.00904	                              
       0.01500	       0.00900	                              
       0.01750	       0.00896	                              
       0.02000	       0.00891	                              
       0.02250	       0.00887	                              
       0.02500	       0.00883	                              
       0.02750	       0.00879	                              
       0.03000	       0.00874	                              
       0.03250	       0.00870	                              
       0.03500	       0.00866	                              
       0.03750	       0.00861	                              
       0.04000	       0.00857	                              
       0.04250	       0.00852	                              
       0.04500	       0.00847	                              
       0.04750	       0.00843	                              
       0.05000	       0.00838	                              
       0.05250	       0.00833	                              
       0.05500	       0.00828	                              
       0.05750	       0.00823	                              
       0.06000	       0.00818	                              
       0.06250	       0.00813	                              
       0.06500	       0.00808	                              
       0.06750	       0.00802	                              
       0.07000	       0.00797	                              
       0.07250	       0.00792	                              
       0.07500	       0.00786	                              
       0.07750	       0.00780	                              
       0.08000	       0.00774	                              
       0.08250	       0.00768	                              
       0.08500	       0.00762	                              
       0.08750	       0.00756	                              
       0.09000	       0.00750	                              
       0.09250	       0.00743	                              
       0.09500	       0.00737	                              
       0.09750	       0.00730	                              
       0.10000	       0.00724	                              
       0.10250	       0.00718	                              
       0.10500	       0.00711	                              
       0.10750	       0.00704	                              
       0.11000	       0.00697	                              
       0.11250	       0.00689	                              
       0.11500	       0.00682	                              
       0.11750	       0.00675	                              
       0.12000	       0.00667	                              
       0.12250	       0.00660	                              
       0.12500	       0.00653	                              
       0.12750	       0.00645	                              
       0.13000	       0.00637	                              
       0.13250	       0.00628	                              
       0.13500	       0.00619	                              
       0.13750	       0.00609	                              
       0.14000	       0.00600	                              
       0.14250	       0.00591	                              
       0.14500	       0.00580	                              
       0.14750	       0.00569	                              
       0.15000	       0.00559	                              
       0.15250	       0.00549	                              
       0.15500	       0.00542	                              
       0.15750	       0.00536	                              
       0.16000	       0.00530	                              
       0.16250	       0.00521	                              
       0.16500	       0.00508	                              
       0.16750	       0.00490	                              
       0.17000	       0.00470	                              
       0.17250	       0.00453	                              
       0.17500	       0.00444	                              
       0.17750	       0.00442	                              
       0.18000	       0.00444	                              
       0.18250	       0.00441	                              
       0.18500	       0.00430	                              
       0.18750	       0.00409	                              
       0.19000	       0.00383	                              
       0.19250	       0.00360	                              
       0.19500	       0.00346	                              
       0.19750	       0.00341	                              
       0.20000	       0.00337	                              
       0.20250	       0.00329	                              
       0.20500	       0.00313	                              
       0.20750	       0.00290	                              
       0.21000	       0.00263	                              
       0.21250	       0.00236	                              
       0.21500	       0.00217	                              
       0.21750	       0.00206	                              
       0.22000	       0.00196	                              
       0.22250	       0.00183	                              
       0.22500	       0.00167	                              
       0.22750	       0.00151	                              
       0.23000	       0.00138	                              
       0.23250	       0.00126	                              
       0.23500	       0.00110	                              
       0.23750	       0.00089	                              
       0.24000	       0.00070	                              
       0.24250	       0.00054	                              
       0.24500	       0.00039	                              
       0.24750	       0.00022	                              
       0.25000	       0.00003	                              
       0.25250	      -0.00012	                              
       0.25500	      -0.00020	                              
       0.25750	      -0.00023	                              
       0.26000	      -0.00028	                              
       0.26250	      -0.00042	                              
       0.26500	      -0.00063	                              
       0.26750	      -0.00088	                              
       0.27000	      -0.00118	                              
       0.27250	      -0.00157	                              
       0.27500	      -0.00204	                              
       0.27750	      -0.00253	                              
       0.28000	      -0.00284	                              
       0.28250	      -0.00284	                              
       0.28500	      -0.00260	                              
       0.28750	      -0.00236	                              
       0.29000	      -0.00236	                              
       0.29250	      -0.00268	                              
       0.29500	      -0.00311	                              
       0.29750	      -0.00336	                              
       0.30000	      -0.00333	                              
       0.30250	      -0.00325	                              
       0.30500	      -0.00347	                              
       0.30750	      -0.00411	                              
       0.31000	      -0.00496	                              
       0.31250	      -0.00568	                              
       0.31500	      -0.00591	                              
       0.31750	      -0.00558	                              
       0.32000	      -0.00493	                              
       0.32250	      -0.00428	                              
       0.32500	      -0.00396	                              
       0.32750	      -0.00411	                              
       0.33000	      -0.00466	                              
       0.33250	      -0.00549	                              
       0.33500	      -0.00652	                              
       0.33750	      -0.00757	                              
       0.34000	      -0.00838	                              
       0.34250	      -0.00867	                              
       0.34500	      -0.00846	                              
       0.34750	      -0.00812	                              
       0.35000	      -0.00808	                              
       0.35250	      -0.00848	                              
       0.35500	      -0.00911	                              
       0.35750	      -0.00961	                              
       0.36000	      -0.00975	                              
       0.36250	      -0.00953	                              
       0.36500	      -0.00918	                              
       0.36750	      -0.00908	                              
       0.37000	      -0.00949	                              
       0.37250	      -0.01037	                              
       0.37500	      -0.01137	                              
       0.37750	      -0.01204	                              
       0.38000	      -0.01216	                              
       0.38250	      -0.01194	                              
       0.38500	      -0.01169	                              
       0.38750	      -0.01159	                              
       0.39000	      -0.01158	                              
       0.39250	      -0.01159	                              
       0.39500	      -0.01158	                              
       0.39750	      -0.01160	                              
       0.40000	      -0.01186	                              
       0.40250	      -0.01259	                              
       0.40500	      -0.01368	                              
       0.40750	      -0.01442	                              
       0.41000	      -0.01394	                              
       0.41250	      -0.01208	                              
       0.41500	      -0.00974	                              
       0.41750	      -0.00808	                              
       0.42000	      -0.00784	                              
       0.42250	      -0.00905	                              
       0.42500	      -0.01080	                              
       0.42750	      -0.01199	                              
       0.43000	      -0.01243	                              
       0.43250	      -0.01257	                              
       0.43500	      -0.01287	                              
       0.43750	      -0.01353	                              
       0.44000	      -0.01428	                              
       0.44250	      -0.01460	                              
       0.44500	      -0.01414	                              
       0.44750	      -0.01307	                              
       0.45000	      -0.01193	                              
       0.45250	      -0.01127	                              
       0.45500	      -0.01130	                              
       0.45750	      -0.01175	                              
       0.46000	      -0.01199	                              
       0.46250	      -0.01158	                              
       0.46500	      -0.01058	                              
       0.46750	      -0.00945	                              
       0.47000	      -0.00870	                              
       0.47250	      -0.00860	                              
       0.47500	      -0.00911	                              
       0.47750	      -0.01002	                              
       0.48000	      -0.01108	                              
       0.48250	      -0.01202	                              
       0.48500	      -0.01256	                              
       0.48750	      -0.01240	                              
       0.49000	      -0.01152	                              
       0.49250	      -0.01050	                              
       0.49500	      -0.01021	                              
       0.49750	      -0.01107	                              
       0.50000	      -0.01273	                              
       0.50250	      -0.01436	                              
       0.50500	      -0.01500	                              
       0.50750	      -0.01405	                              
       0.51000	      -0.01171	                              
       0.51250	      -0.00889	                              
       0.51500	      -0.00671	                              
       0.51750	      -0.00588	                              
       0.52000	      -0.00640	                              
       0.52250	      -0.00757	                              
       0.52500	      -0.00843	                              
       0.52750	      -0.00840	                              
       0.53000	      -0.00755	                              
       0.53250	      -0.00648	                              
       0.53500	      -0.00614	                              
       0.53750	      -0.00702	                              
       0.54000	      -0.00879	                              
       0.54250	      -0.01065	                              
       0.54500	      -0.01167	                              
       0.54750	      -0.01100	                              
       0.55000	      -0.00862	                              
       0.55250	      -0.00530	                              
       0.55500	      -0.00184	                              
       0.55750	       0.00085	                              
       0.56000	       0.00197	                              
       0.56250	       0.00150	                              
       0.56500	       0.00051	                              
       0.56750	       0.00010	                              
       0.57000	       0.00048	                              
       0.57250	       0.00116	                              
       0.57500	       0.00184	                              
       0.57750	       0.00247	                              
       0.58000	       0.00299	                              
       0.58250	       0.00350	                              
       0.58500	       0.00428	                              
       0.58750	       0.00533	                              
       0.59000	       0.00626	                              
       0.59250	       0.00652	                              
       0.59500	       0.00591	                              
       0.59750	       0.00520	                              
       0.60000	       0.00561	                              
       0.60250	       0.00774	                              
       0.60500	       0.01097	                              
       0.60750	       0.01386	                              
       0.61000	       0.01522	                              
       0.61250	       0.01482	                              
       0.61500	       0.01341	                              
