Time Series matched accelerogram: RSN990_NORTHR_LAC090.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	      -0.00083	                              
       0.02000	      -0.00034	                              
       0.03000	       0.00013	                              
       0.04000	       0.00017	                              
       0.05000	      -0.00074	                              
       0.06000	       0.00002	                              
       0.07000	       0.00014	                              
       0.08000	      -0.00066	                              
       0.09000	      -0.00010	                              
       0.10000	       0.00033	                              
       0.11000	      -0.00038	                              
       0.12000	      -0.00049	                              
       0.13000	       0.00022	                              
       0.14000	       0.00008	                              
       0.15000	       0.00013	                              
       0.16000	       0.00011	                              
       0.17000	       0.00090	                              
       0.18000	       0.00034	                              
       0.19000	      -0.00008	                              
       0.20000	       0.00060	                              
       0.21000	       0.00074	                              
       0.22000	      -0.00001	                              
       0.23000	       0.00019	                              
       0.24000	       0.00008	                              
       0.25000	       0.00014	                              
       0.26000	       0.00012	                              
       0.27000	      -0.00068	                              
       0.28000	      -0.00005	                              
       0.29000	       0.00021	                              
       0.30000	       0.00005	                              
       0.31000	       0.00018	                              
       0.32000	       0.00006	                              
       0.33000	      -0.00059	                              
       0.34000	      -0.00039	                              
       0.35000	      -0.00087	                              
       0.36000	      -0.00049	                              
       0.37000	       0.00028	                              
       0.38000	      -0.00001	                              
       0.39000	       0.00024	                              
       0.40000	      -0.00002	                              
       0.41000	       0.00030	                              
       0.42000	      -0.00035	                              
       0.43000	      -0.00054	                              
       0.44000	       0.00029	                              
       0.45000	      -0.00003	                              
       0.46000	       0.00032	                              
       0.47000	      -0.00118	                              
       0.48000	      -0.00067	                              
       0.49000	       0.00031	                              
       0.50000	       0.00003	                              
       0.51000	      -0.00007	                              
       0.52000	      -0.00109	                              
       0.53000	      -0.00029	                              
       0.54000	       0.00008	                              
       0.55000	       0.00019	                              
       0.56000	       0.00002	                              
       0.57000	       0.00024	                              
       0.58000	      -0.00007	                              
       0.59000	       0.00059	                              
       0.60000	       0.00076	                              
       0.61000	      -0.00082	                              
       0.62000	       0.00002	                              
       0.63000	       0.00016	                              
       0.64000	       0.00006	                              
       0.65000	       0.00017	                              
       0.66000	       0.00004	                              
       0.67000	       0.00020	                              
       0.68000	      -0.00000	                              
       0.69000	       0.00030	                              
       0.70000	      -0.00037	                              
       0.71000	      -0.00051	                              
       0.72000	       0.00024	                              
       0.73000	       0.00005	                              
       0.74000	       0.00015	                              
       0.75000	       0.00008	                              
       0.76000	       0.00014	                              
       0.77000	       0.00009	                              
       0.78000	       0.00014	                              
       0.79000	       0.00007	                              
       0.80000	       0.00095	                              
       0.81000	       0.00025	                              
       0.82000	      -0.00073	                              
       0.83000	      -0.00005	                              
       0.84000	       0.00025	                              
       0.85000	      -0.00031	                              
       0.86000	      -0.00059	                              
       0.87000	       0.00033	                              
       0.88000	      -0.00006	                              
       0.89000	       0.00028	                              
       0.90000	      -0.00009	                              
       0.91000	       0.00038	                              
       0.92000	      -0.00048	                              
       0.93000	      -0.00035	                              
       0.94000	      -0.00023	                              
       0.95000	      -0.00062	                              
       0.96000	       0.00110	                              
       0.97000	       0.00016	                              
       0.98000	       0.00011	                              
       0.99000	       0.00011	                              
       1.00000	       0.00011	                              
       1.01000	       0.00011	                              
       1.02000	       0.00012	                              
       1.03000	       0.00008	                              
       1.04000	       0.00017	                              
       1.05000	      -0.00078	                              
       1.06000	       0.00011	                              
       1.07000	      -0.00033	                              
       1.08000	      -0.00026	                              
       1.09000	       0.00113	                              
       1.10000	      -0.00065	                              
       1.11000	      -0.00034	                              
       1.12000	       0.00010	                              
       1.13000	       0.00015	                              
       1.14000	       0.00007	                              
       1.15000	       0.00013	                              
       1.16000	       0.00010	                              
       1.17000	      -0.00069	                              
       1.18000	      -0.00005	                              
       1.19000	       0.00017	                              
       1.20000	       0.00007	                              
       1.21000	       0.00010	                              
       1.22000	       0.00018	                              
       1.23000	      -0.00106	                              
       1.24000	      -0.00083	                              
       1.25000	       0.00051	                              
       1.26000	      -0.00052	                              
       1.27000	      -0.00041	                              
       1.28000	       0.00014	                              
       1.29000	       0.00011	                              
       1.30000	       0.00008	                              
       1.31000	       0.00013	                              
       1.32000	       0.00009	                              
       1.33000	      -0.00068	                              
       1.34000	      -0.00009	                              
       1.35000	       0.00022	                              
       1.36000	      -0.00002	                              
       1.37000	       0.00106	                              
       1.38000	      -0.00016	                              
       1.39000	      -0.00069	                              
       1.40000	       0.00044	                              
       1.41000	      -0.00029	                              
       1.42000	       0.00163	                              
       1.43000	       0.00034	                              
       1.44000	      -0.00064	                              
       1.45000	       0.00023	                              
       1.46000	       0.00013	                              
       1.47000	      -0.00028	                              
       1.48000	      -0.00059	                              
       1.49000	       0.00027	                              
       1.50000	       0.00001	                              
       1.51000	       0.00015	                              
       1.52000	       0.00008	                              
       1.53000	       0.00010	                              
       1.54000	       0.00011	                              
       1.55000	       0.00008	                              
       1.56000	       0.00012	                              
       1.57000	       0.00010	                              
       1.58000	      -0.00069	                              
       1.59000	      -0.00007	                              
       1.60000	       0.00017	                              
       1.61000	       0.00007	                              
       1.62000	      -0.00069	                              
       1.63000	      -0.00005	                              
       1.64000	       0.00013	                              
       1.65000	       0.00016	                              
       1.66000	      -0.00028	                              
       1.67000	      -0.00059	                              
       1.68000	      -0.00052	                              
       1.69000	      -0.00018	                              
       1.70000	       0.00025	                              
       1.71000	      -0.00001	                              
       1.72000	       0.00018	                              
       1.73000	       0.00003	                              
       1.74000	       0.00015	                              
       1.75000	       0.00006	                              
       1.76000	       0.00012	                              
       1.77000	       0.00008	                              
       1.78000	       0.00010	                              
       1.79000	       0.00010	                              
       1.80000	       0.00009	                              
       1.81000	       0.00012	                              
       1.82000	       0.00007	                              
       1.83000	       0.00013	                              
       1.84000	       0.00007	                              
       1.85000	       0.00013	                              
       1.86000	       0.00007	                              
       1.87000	       0.00013	                              
       1.88000	       0.00008	                              
       1.89000	      -0.00068	                              
       1.90000	      -0.00009	                              
       1.91000	       0.00020	                              
       1.92000	       0.00002	                              
       1.93000	       0.00016	                              
       1.94000	       0.00004	                              
       1.95000	       0.00014	                              
       1.96000	       0.00008	                              
       1.97000	      -0.00069	                              
       1.98000	      -0.00007	                              
       1.99000	       0.00017	                              
       2.00000	       0.00007	                              
       2.01000	      -0.00068	                              
       2.02000	      -0.00008	                              
       2.03000	       0.00018	                              
       2.04000	       0.00004	                              
       2.05000	       0.00015	                              
       2.06000	       0.00006	                              
       2.07000	       0.00015	                              
       2.08000	      -0.00074	                              
       2.09000	      -0.00004	                              
       2.10000	       0.00015	                              
       2.11000	       0.00006	                              
       2.12000	       0.00014	                              
       2.13000	       0.00007	                              
       2.14000	       0.00012	                              
       2.15000	       0.00010	                              
       2.16000	      -0.00070	                              
       2.17000	      -0.00007	                              
       2.18000	       0.00018	                              
       2.19000	       0.00004	                              
       2.20000	       0.00014	                              
       2.21000	       0.00007	                              
       2.22000	       0.00013	                              
       2.23000	       0.00008	                              
       2.24000	       0.00011	                              
       2.25000	       0.00010	                              
       2.26000	       0.00009	                              
       2.27000	       0.00012	                              
       2.28000	       0.00005	                              
       2.29000	       0.00020	                              
       2.30000	      -0.00029	                              
       2.31000	      -0.00140	                              
       2.32000	      -0.00064	                              
       2.33000	      -0.00017	                              
       2.34000	       0.00034	                              
       2.35000	      -0.00042	                              
       2.36000	      -0.00049	                              
       2.37000	       0.00020	                              
       2.38000	       0.00006	                              
       2.39000	       0.00012	                              
       2.40000	       0.00010	                              
       2.41000	       0.00012	                              
       2.42000	      -0.00069	                              
       2.43000	      -0.00008	                              
       2.44000	       0.00022	                              
       2.45000	      -0.00001	                              
       2.46000	       0.00025	                              
       2.47000	      -0.00010	                              
       2.48000	       0.00061	                              
       2.49000	       0.00069	                              
       2.50000	       0.00005	                              
       2.51000	      -0.00014	                              
       2.52000	      -0.00103	                              
       2.53000	      -0.00038	                              
       2.54000	       0.00017	                              
       2.55000	      -0.00070	                              
       2.56000	      -0.00086	                              
       2.57000	       0.00003	                              
       2.58000	       0.00012	                              
       2.59000	      -0.00066	                              
       2.60000	      -0.00091	                              
       2.61000	       0.00011	                              
       2.62000	      -0.00002	                              
       2.63000	       0.00055	                              
       2.64000	       0.00077	                              
       2.65000	      -0.00004	                              
       2.66000	       0.00020	                              
       2.67000	       0.00005	                              
       2.68000	       0.00016	                              
       2.69000	       0.00007	                              
       2.70000	       0.00015	                              
       2.71000	       0.00008	                              
       2.72000	       0.00016	                              
       2.73000	      -0.00072	                              
       2.74000	      -0.00003	                              
       2.75000	       0.00019	                              
       2.76000	      -0.00074	                              
       2.77000	      -0.00000	                              
       2.78000	       0.00015	                              
       2.79000	       0.00010	                              
       2.80000	       0.00010	                              
       2.81000	       0.00093	                              
       2.82000	       0.00027	                              
       2.83000	       0.00005	                              
       2.84000	       0.00017	                              
       2.85000	       0.00007	                              
       2.86000	       0.00017	                              
       2.87000	      -0.00072	                              
       2.88000	      -0.00001	                              
       2.89000	       0.00017	                              
       2.90000	       0.00008	                              
       2.91000	       0.00018	                              
       2.92000	      -0.00073	                              
       2.93000	       0.00001	                              
       2.94000	       0.00016	                              
       2.95000	       0.00012	                              
       2.96000	       0.00009	                              
       2.97000	       0.00042	                              
       2.98000	       0.00103	                              
       2.99000	      -0.00139	                              
       3.00000	      -0.00046	                              
       3.01000	       0.00011	                              
       3.02000	       0.00030	                              
       3.03000	      -0.00044	                              
       3.04000	      -0.00008	                              
       3.05000	       0.00093	                              
       3.06000	      -0.00009	                              
       3.07000	       0.00026	                              
       3.08000	       0.00006	                              
       3.09000	       0.00017	                              
       3.10000	       0.00012	                              
       3.11000	       0.00014	                              
       3.12000	      -0.00064	                              
       3.13000	      -0.00009	                              
       3.14000	       0.00032	                              
       3.15000	      -0.00011	                              
       3.16000	       0.00071	                              
       3.17000	      -0.00012	                              
       3.18000	      -0.00083	                              
       3.19000	      -0.00006	                              
       3.20000	       0.00060	                              
       3.21000	       0.00078	                              
       3.22000	       0.00001	                              
       3.23000	       0.00021	                              
       3.24000	       0.00011	                              
       3.25000	       0.00016	                              
       3.26000	       0.00014	                              
       3.27000	       0.00014	                              
       3.28000	       0.00016	                              
       3.29000	       0.00013	                              
       3.30000	       0.00017	                              
       3.31000	       0.00012	                              
       3.32000	       0.00019	                              
       3.33000	       0.00011	                              
       3.34000	       0.00021	                              
       3.35000	       0.00008	                              
       3.36000	       0.00026	                              
       3.37000	      -0.00001	                              
       3.38000	       0.00062	                              
       3.39000	       0.00080	                              
       3.40000	       0.00002	                              
       3.41000	       0.00024	                              
       3.42000	       0.00011	                              
       3.43000	       0.00020	                              
       3.44000	       0.00013	                              
       3.45000	       0.00019	                              
       3.46000	       0.00014	                              
       3.47000	       0.00018	                              
       3.48000	       0.00015	                              
       3.49000	       0.00019	                              
       3.50000	       0.00015	                              
       3.51000	       0.00019	                              
       3.52000	       0.00014	                              
       3.53000	       0.00021	                              
       3.54000	       0.00012	                              
       3.55000	      -0.00050	                              
       3.56000	      -0.00121	                              
       3.57000	      -0.00061	                              
       3.58000	       0.00041	                              
       3.59000	      -0.00005	                              
       3.60000	       0.00068	                              
       3.61000	       0.00080	                              
       3.62000	       0.00005	                              
       3.63000	       0.00025	                              
       3.64000	       0.00014	                              
       3.65000	       0.00021	                              
       3.66000	       0.00019	                              
       3.67000	      -0.00063	                              
       3.68000	       0.00005	                              
       3.69000	       0.00022	                              
       3.70000	      -0.00054	                              
       3.71000	      -0.00116	                              
       3.72000	      -0.00061	                              
       3.73000	       0.00042	                              
       3.74000	       0.00005	                              
       3.75000	       0.00029	                              
       3.76000	       0.00014	                              
       3.77000	      -0.00056	                              
       3.78000	       0.00001	                              
       3.79000	       0.00030	                              
       3.80000	       0.00015	                              
