MEAN MATCHED SPECTRUM
 
 
Accelerograms used:
RSN139_TABAS_DAY-L1.AT2
RSN410_COALINGA_D-PLM270.AT2
RSN496_NAHANNI_S2240.AT2
RSN990_NORTHR_LAC090.AT2
RSN1052_NORTHR_PKC360.AT2
RSN4455_MONTENE.GRO_HRZ000.AT2
RSN4863_CHUETSU_65036EW.AT2
 
Maximum Misfit: 12.95048%
Average Misfit: 4.25879%
Max Sa:         0.94050g
 
T(sec)		Sa (g)
0.00000		0.42075
0.02000		0.45069
0.04000		0.52656
0.06000		0.69272
0.08000		0.80263
0.10000		0.91643
0.12000		0.91633
0.14000		0.91591
0.16000		0.91823
0.18000		0.89051
0.20000		0.86906
0.22000		0.89278
0.24000		0.84680
0.26000		0.88552
0.28000		0.90013
0.30000		0.87455
0.32000		0.90114
0.34000		0.88171
0.36000		0.91254
0.38000		0.91164
0.40000		0.94050
0.42000		0.89148
0.44000		0.87907
0.46000		0.89622
0.48000		0.92053
0.50000		0.89313
0.52000		0.87556
0.54000		0.86458
0.56000		0.83552
0.58000		0.79054
0.60000		0.74540
0.62000		0.72627
0.64000		0.70343
0.66000		0.69824
0.68000		0.68513
0.70000		0.65612
0.72000		0.61525
0.74000		0.58924
0.76000		0.56078
0.78000		0.53354
0.80000		0.49705
0.82000		0.47756
0.84000		0.47597
0.86000		0.47101
0.88000		0.45476
0.90000		0.43075
0.92000		0.42137
0.94000		0.40537
0.96000		0.38146
0.98000		0.36502
1.00000		0.34806
1.02000		0.34136
1.04000		0.33692
1.06000		0.32859
1.08000		0.32476
1.10000		0.32045
1.12000		0.31143
1.14000		0.29958
1.16000		0.28643
1.18000		0.27637
1.20000		0.26661
1.22000		0.25705
1.24000		0.24655
1.26000		0.23838
1.28000		0.23211
1.30000		0.22974
1.32000		0.22628
1.34000		0.21990
1.36000		0.21590
1.38000		0.21352
1.40000		0.21069
1.42000		0.20619
1.44000		0.20292
1.46000		0.19778
1.48000		0.19133
1.50000		0.18593
1.52000		0.18361
1.54000		0.18170
1.56000		0.17940
1.58000		0.17744
1.60000		0.17476
1.62000		0.17188
1.64000		0.16822
1.66000		0.16769
1.68000		0.16961
1.70000		0.17019
1.72000		0.16944
1.74000		0.16696
1.76000		0.16531
1.78000		0.16408
1.80000		0.16347
1.82000		0.16353
1.84000		0.16195
1.86000		0.15945
1.88000		0.15693
1.90000		0.15493
1.92000		0.15265
1.94000		0.15132
1.96000		0.14938
1.98000		0.14718
2.00000		0.14444
2.02000		0.14123
2.04000		0.13760
2.06000		0.13373
2.08000		0.13006
2.10000		0.12612
2.12000		0.12312
2.14000		0.12005
2.16000		0.11770
2.18000		0.11509
2.20000		0.11246
2.22000		0.11043
2.24000		0.10832
2.26000		0.10620
2.28000		0.10397
2.30000		0.10165
2.32000		0.09958
2.34000		0.09807
2.36000		0.09619
2.38000		0.09414
2.40000		0.09219
2.42000		0.09016
2.44000		0.08799
2.46000		0.08574
2.48000		0.08345
2.50000		0.08127
2.52000		0.07967
2.54000		0.07816
2.56000		0.07662
2.58000		0.07510
2.60000		0.07358
2.62000		0.07207
2.64000		0.07067
2.66000		0.06928
2.68000		0.06794
2.70000		0.06661
2.72000		0.06569
2.74000		0.06537
2.76000		0.06501
2.78000		0.06462
2.80000		0.06460
2.82000		0.06456
2.84000		0.06445
2.86000		0.06440
2.88000		0.06441
2.90000		0.06448
2.92000		0.06447
2.94000		0.06438
2.96000		0.06421
2.98000		0.06398
3.00000		0.06369
3.02000		0.06341
3.04000		0.06308
3.06000		0.06269
3.08000		0.06229
3.10000		0.06226
3.12000		0.06219
3.14000		0.06212
