Time Series matched accelerogram: RSN1045_NORTHR_WPI316.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	      -0.01043	                              
       0.02000	      -0.01040	                              
       0.03000	      -0.01037	                              
       0.04000	      -0.01035	                              
       0.05000	      -0.01031	                              
       0.06000	      -0.01028	                              
       0.07000	      -0.01025	                              
       0.08000	      -0.01022	                              
       0.09000	      -0.01018	                              
       0.10000	      -0.01018	                              
       0.11000	      -0.01017	                              
       0.12000	      -0.01016	                              
       0.13000	      -0.01016	                              
       0.14000	      -0.01016	                              
       0.15000	      -0.01011	                              
       0.16000	      -0.01005	                              
       0.17000	      -0.01007	                              
       0.18000	      -0.01003	                              
       0.19000	      -0.00976	                              
       0.20000	      -0.00951	                              
       0.21000	      -0.00936	                              
       0.22000	      -0.00918	                              
       0.23000	      -0.00902	                              
       0.24000	      -0.00888	                              
       0.25000	      -0.00890	                              
       0.26000	      -0.00885	                              
       0.27000	      -0.00871	                              
       0.28000	      -0.00855	                              
       0.29000	      -0.00821	                              
       0.30000	      -0.00778	                              
       0.31000	      -0.00738	                              
       0.32000	      -0.00688	                              
       0.33000	      -0.00678	                              
       0.34000	      -0.00698	                              
       0.35000	      -0.00684	                              
       0.36000	      -0.00657	                              
       0.37000	      -0.00642	                              
       0.38000	      -0.00678	                              
       0.39000	      -0.00709	                              
       0.40000	      -0.00713	                              
       0.41000	      -0.00725	                              
       0.42000	      -0.00712	                              
       0.43000	      -0.00641	                              
       0.44000	      -0.00598	                              
       0.45000	      -0.00647	                              
       0.46000	      -0.00722	                              
       0.47000	      -0.00814	                              
       0.48000	      -0.00877	                              
       0.49000	      -0.00913	                              
       0.50000	      -0.00960	                              
       0.51000	      -0.00964	                              
       0.52000	      -0.00958	                              
       0.53000	      -0.00968	                              
       0.54000	      -0.00943	                              
       0.55000	      -0.00873	                              
       0.56000	      -0.00715	                              
       0.57000	      -0.00540	                              
       0.58000	      -0.00444	                              
       0.59000	      -0.00405	                              
       0.60000	      -0.00370	                              
       0.61000	      -0.00284	                              
       0.62000	      -0.00254	                              
       0.63000	      -0.00300	                              
       0.64000	      -0.00471	                              
       0.65000	      -0.00692	                              
       0.66000	      -0.00674	                              
       0.67000	      -0.00454	                              
       0.68000	      -0.00109	                              
       0.69000	       0.00221	                              
       0.70000	       0.00422	                              
       0.71000	       0.00596	                              
       0.72000	       0.00843	                              
       0.73000	       0.01025	                              
       0.74000	       0.01119	                              
