Time Series matched accelerogram: RSN3749_CAPEMEND_FFT360.AT2
 
Time Step: 0.005 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.00500	       0.00306	                              
       0.01000	       0.00305	                              
       0.01500	       0.00304	                              
       0.02000	       0.00303	                              
       0.02500	       0.00301	                              
       0.03000	       0.00300	                              
       0.03500	       0.00299	                              
       0.04000	       0.00298	                              
       0.04500	       0.00298	                              
       0.05000	       0.00298	                              
       0.05500	       0.00298	                              
       0.06000	       0.00299	                              
       0.06500	       0.00297	                              
       0.07000	       0.00295	                              
       0.07500	       0.00291	                              
       0.08000	       0.00285	                              
       0.08500	       0.00279	                              
       0.09000	       0.00272	                              
       0.09500	       0.00264	                              
       0.10000	       0.00256	                              
       0.10500	       0.00247	                              
       0.11000	       0.00237	                              
       0.11500	       0.00229	                              
       0.12000	       0.00223	                              
       0.12500	       0.00218	                              
       0.13000	       0.00218	                              
       0.13500	       0.00222	                              
       0.14000	       0.00228	                              
       0.14500	       0.00237	                              
       0.15000	       0.00247	                              
       0.15500	       0.00257	                              
       0.16000	       0.00270	                              
       0.16500	       0.00284	                              
       0.17000	       0.00298	                              
       0.17500	       0.00313	                              
       0.18000	       0.00327	                              
       0.18500	       0.00344	                              
       0.19000	       0.00360	                              
       0.19500	       0.00373	                              
       0.20000	       0.00380	                              
       0.20500	       0.00381	                              
       0.21000	       0.00377	                              
       0.21500	       0.00367	                              
       0.22000	       0.00355	                              
       0.22500	       0.00334	                              
       0.23000	       0.00314	                              
       0.23500	       0.00296	                              
       0.24000	       0.00273	                              
       0.24500	       0.00257	                              
       0.25000	       0.00246	                              
       0.25500	       0.00237	                              
       0.26000	       0.00233	                              
       0.26500	       0.00233	                              
       0.27000	       0.00235	                              
       0.27500	       0.00239	                              
       0.28000	       0.00245	                              
       0.28500	       0.00256	                              
       0.29000	       0.00281	                              
       0.29500	       0.00312	                              
       0.30000	       0.00342	                              
       0.30500	       0.00364	                              
       0.31000	       0.00372	                              
       0.31500	       0.00365	                              
       0.32000	       0.00342	                              
       0.32500	       0.00300	                              
       0.33000	       0.00265	                              
       0.33500	       0.00248	                              
       0.34000	       0.00231	                              
       0.34500	       0.00209	                              
       0.35000	       0.00212	                              
       0.35500	       0.00218	                              
       0.36000	       0.00196	                              
       0.36500	       0.00140	                              
       0.37000	       0.00113	                              
       0.37500	       0.00107	                              
       0.38000	       0.00094	                              
       0.38500	       0.00063	                              
       0.39000	       0.00028	                              
       0.39500	       0.00016	                              
       0.40000	       0.00015	                              
       0.40500	      -0.00004	                              
       0.41000	      -0.00016	                              
       0.41500	      -0.00021	                              
       0.42000	      -0.00025	                              
       0.42500	      -0.00031	                              
       0.43000	      -0.00046	                              
       0.43500	      -0.00077	                              
       0.44000	      -0.00121	                              
       0.44500	      -0.00156	                              
       0.45000	      -0.00184	                              
       0.45500	      -0.00185	                              
       0.46000	      -0.00163	                              
       0.46500	      -0.00115	                              
       0.47000	      -0.00056	                              
       0.47500	       0.00005	                              
       0.48000	       0.00070	                              
       0.48500	       0.00128	                              
       0.49000	       0.00161	                              
       0.49500	       0.00152	                              
       0.50000	       0.00111	                              
       0.50500	       0.00050	                              
       0.51000	      -0.00013	                              
       0.51500	      -0.00105	                              
       0.52000	      -0.00236	                              
       0.52500	      -0.00386	                              
       0.53000	      -0.00531	                              
       0.53500	      -0.00594	                              
       0.54000	      -0.00615	                              
       0.54500	      -0.00614	                              
       0.55000	      -0.00566	                              
       0.55500	      -0.00437	                              
       0.56000	      -0.00239	                              
       0.56500	      -0.00015	                              
       0.57000	       0.00190	                              
       0.57500	       0.00334	                              
       0.58000	       0.00469	                              
       0.58500	       0.00600	                              
       0.59000	       0.00727	                              
       0.59500	       0.00791	                              
       0.60000	       0.00806	                              
       0.60500	       0.00721	                              
       0.61000	       0.00631	                              
       0.61500	       0.00545	                              
       0.62000	       0.00425	                              
       0.62500	       0.00208	                              
       0.63000	      -0.00031	                              
       0.63500	      -0.00251	                              
       0.64000	      -0.00408	                              
       0.64500	      -0.00398	                              
       0.65000	      -0.00228	                              
       0.65500	      -0.00070	                              
       0.66000	      -0.00041	                              
       0.66500	      -0.00109	                              
       0.67000	      -0.00232	                              
       0.67500	      -0.00362	                              
       0.68000	      -0.00399	                              
       0.68500	      -0.00307	                              
       0.69000	      -0.00197	                              
       0.69500	      -0.00279	                              
       0.70000	      -0.00504	                              
       0.70500	      -0.00741	                              
       0.71000	      -0.00842	                              
       0.71500	      -0.00796	                              
       0.72000	      -0.00651	                              
       0.72500	      -0.00515	                              
       0.73000	      -0.00374	                              
       0.73500	      -0.00188	                              
       0.74000	       0.00034	                              
       0.74500	       0.00312	                              
       0.75000	       0.00586	                              
       0.75500	       0.00809	                              
       0.76000	       0.00973	                              
       0.76500	       0.01127	                              
       0.77000	       0.01329	                              
       0.77500	       0.01570	                              
       0.78000	       0.01771	                              
       0.78500	       0.01811	                              
       0.79000	       0.01718	                              
       0.79500	       0.01536	                              
       0.80000	       0.01323	                              
       0.80500	       0.01181	                              
       0.81000	       0.01102	                              
       0.81500	       0.01104	                              
       0.82000	       0.01191	                              
       0.82500	       0.01312	                              
       0.83000	       0.01489	                              
       0.83500	       0.01713	                              
       0.84000	       0.01893	                              
       0.84500	       0.01923	                              
       0.85000	       0.01841	                              
       0.85500	       0.01595	                              
       0.86000	       0.01291	                              
       0.86500	       0.00981	                              
       0.87000	       0.00593	                              
       0.87500	       0.00216	                              
       0.88000	      -0.00209	                              
       0.88500	      -0.00651	                              
       0.89000	      -0.01048	                              
       0.89500	      -0.01349	                              
       0.90000	      -0.01453	                              
       0.90500	      -0.01448	                              
       0.91000	      -0.01248	                              
       0.91500	      -0.01024	                              
       0.92000	      -0.00735	                              
       0.92500	      -0.00329	                              
       0.93000	       0.00084	                              
       0.93500	       0.00413	                              
       0.94000	       0.00537	                              
       0.94500	       0.00535	                              
       0.95000	       0.00387	                              
       0.95500	       0.00159	                              
       0.96000	      -0.00195	                              
