Time Series matched accelerogram: RSN4458_MONTENE.GRO_ULO000.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	       0.00648	                              
       0.02000	       0.00610	                              
       0.03000	       0.00480	                              
       0.04000	       0.00249	                              
       0.05000	       0.00331	                              
       0.06000	       0.00245	                              
       0.07000	       0.00220	                              
       0.08000	       0.00011	                              
       0.09000	       0.00085	                              
       0.10000	      -0.00281	                              
       0.11000	      -0.00040	                              
       0.12000	      -0.00022	                              
       0.13000	      -0.00898	                              
       0.14000	      -0.00809	                              
       0.15000	      -0.00285	                              
       0.16000	       0.00083	                              
       0.17000	      -0.00437	                              
       0.18000	      -0.01111	                              
       0.19000	      -0.01069	                              
       0.20000	      -0.00747	                              
       0.21000	      -0.00390	                              
       0.22000	      -0.00396	                              
       0.23000	      -0.00663	                              
       0.24000	      -0.00258	                              
       0.25000	      -0.00135	                              
       0.26000	      -0.01316	                              
       0.27000	      -0.01561	                              
       0.28000	      -0.01627	                              
       0.29000	      -0.01706	                              
       0.30000	      -0.01192	                              
       0.31000	      -0.00551	                              
       0.32000	       0.00056	                              
       0.33000	      -0.00227	                              
       0.34000	      -0.01034	                              
       0.35000	      -0.01463	                              
       0.36000	      -0.00956	                              
       0.37000	      -0.00193	                              
       0.38000	      -0.00185	                              
       0.39000	      -0.00395	                              
       0.40000	      -0.00221	                              
       0.41000	      -0.00069	                              
       0.42000	       0.00198	                              
       0.43000	      -0.00171	                              
       0.44000	      -0.00318	                              
       0.45000	      -0.00717	                              
       0.46000	      -0.00980	                              
       0.47000	       0.00008	                              
       0.48000	       0.01061	                              
       0.49000	       0.01064	                              
       0.50000	       0.00260	                              
       0.51000	       0.00200	                              
       0.52000	       0.01347	                              
       0.53000	       0.01614	                              
       0.54000	       0.00855	                              
       0.55000	       0.00440	                              
       0.56000	       0.00790	                              
       0.57000	       0.01207	                              
       0.58000	       0.00525	                              
       0.59000	       0.00045	                              
       0.60000	       0.01039	                              
       0.61000	       0.01898	                              
       0.62000	       0.01373	                              
       0.63000	       0.00527	                              
       0.64000	      -0.00002	                              
       0.65000	       0.00669	                              
       0.66000	       0.01508	                              
       0.67000	       0.01497	                              
       0.68000	       0.01077	                              
       0.69000	       0.01340	                              
       0.70000	       0.01678	                              
       0.71000	       0.01595	                              
       0.72000	       0.01688	                              
       0.73000	       0.02267	                              
       0.74000	       0.02399	                              
       0.75000	       0.01914	                              
       0.76000	       0.02032	                              
       0.77000	       0.02763	                              
       0.78000	       0.01826	                              
       0.79000	       0.00933	                              
       0.80000	       0.01760	                              
       0.81000	       0.03115	                              
       0.82000	       0.03678	                              
       0.83000	       0.02858	                              
       0.84000	       0.01737	                              
       0.85000	       0.01693	                              
       0.86000	       0.02858	                              
       0.87000	       0.03325	                              
       0.88000	       0.02200	                              
       0.89000	       0.01125	                              
       0.90000	       0.01185	                              
       0.91000	       0.02740	                              
       0.92000	       0.02925	                              
       0.93000	       0.02102	                              
       0.94000	       0.02320	                              
       0.95000	       0.02620	                              
       0.96000	       0.03420	                              
       0.97000	       0.03633	                              
       0.98000	       0.02520	                              
       0.99000	       0.01365	                              
       1.00000	       0.01550	                              
       1.01000	       0.02317	                              
       1.02000	       0.02404	                              
       1.03000	       0.01821	                              
       1.04000	       0.00823	                              
       1.05000	       0.00320	                              
       1.06000	       0.01078	                              
       1.07000	       0.01476	                              
       1.08000	       0.01441	                              
       1.09000	       0.00794	                              
       1.10000	       0.00236	                              
       1.11000	       0.00882	                              
       1.12000	       0.01720	                              
       1.13000	       0.02198	                              
       1.14000	       0.01886	                              
       1.15000	       0.01238	                              
       1.16000	       0.01050	                              
       1.17000	       0.01320	                              
       1.18000	       0.00938	                              
       1.19000	       0.00375	                              
       1.20000	       0.00391	                              
       1.21000	       0.01206	                              
       1.22000	       0.01841	                              
       1.23000	       0.01336	                              
       1.24000	      -0.00572	                              
       1.25000	      -0.02207	                              
       1.26000	      -0.02493	                              
       1.27000	      -0.02244	                              
       1.28000	      -0.02801	                              
       1.29000	      -0.03576	                              
       1.30000	      -0.04495	                              
       1.31000	      -0.04049	                              
       1.32000	      -0.02885	                              
       1.33000	      -0.02506	                              
       1.34000	      -0.03407	                              
       1.35000	      -0.03886	                              
       1.36000	      -0.02920	                              
       1.37000	      -0.01491	                              
       1.38000	      -0.01781	                              
       1.39000	      -0.01398	                              
       1.40000	      -0.01160	                              
       1.41000	      -0.02020	                              
       1.42000	      -0.01496	                              
       1.43000	      -0.00215	                              
       1.44000	      -0.00432	                              
       1.45000	      -0.00142	                              
       1.46000	      -0.02503	                              
       1.47000	      -0.04079	                              
       1.48000	      -0.03691	                              
       1.49000	      -0.03093	                              
       1.50000	      -0.03139	                              
       1.51000	      -0.03226	                              
       1.52000	      -0.04337	                              
       1.53000	      -0.05538	                              
       1.54000	      -0.06081	                              
       1.55000	      -0.06583	                              
       1.56000	      -0.07345	                              
       1.57000	      -0.06747	                              
       1.58000	      -0.06809	                              
       1.59000	      -0.08158	                              
       1.60000	      -0.08371	                              
       1.61000	      -0.07369	                              
       1.62000	      -0.05430	                              
       1.63000	      -0.04078	                              
       1.64000	      -0.04024	                              
       1.65000	      -0.03667	                              
       1.66000	      -0.01960	                              
       1.67000	       0.00608	                              
       1.68000	       0.02331	                              
       1.69000	       0.01558	                              
       1.70000	       0.00003	                              
       1.71000	      -0.00254	                              
       1.72000	       0.01427	                              
       1.73000	       0.02521	                              
       1.74000	       0.00828	                              
       1.75000	      -0.01109	                              
       1.76000	      -0.00068	                              
       1.77000	       0.01638	                              
       1.78000	       0.01486	                              
       1.79000	      -0.00373	                              
       1.80000	      -0.01878	                              
       1.81000	      -0.02054	                              
       1.82000	      -0.01878	                              
       1.83000	      -0.01747	                              
       1.84000	      -0.03173	                              
       1.85000	      -0.04203	                              
       1.86000	      -0.03402	                              
       1.87000	      -0.02491	                              
       1.88000	      -0.01538	                              
       1.89000	       0.01009	                              
       1.90000	       0.01855	                              
       1.91000	      -0.00351	                              
       1.92000	      -0.00288	                              
       1.93000	       0.01374	                              
       1.94000	       0.02952	                              
       1.95000	       0.02222	                              
       1.96000	      -0.00716	                              
       1.97000	      -0.03121	                              
       1.98000	      -0.01894	                              
       1.99000	       0.00424	                              
       2.00000	      -0.00504	                              
       2.01000	      -0.03016	                              
       2.02000	      -0.02094	                              
       2.03000	       0.02218	                              
       2.04000	       0.06117	                              
       2.05000	       0.06707	                              
       2.06000	       0.06725	                              
       2.07000	       0.06828	                              
       2.08000	       0.08442	                              
       2.09000	       0.12104	                              
       2.10000	       0.14726	                              
       2.11000	       0.15125	                              
       2.12000	       0.15362	                              
       2.13000	       0.16074	                              
       2.14000	       0.16705	                              
       2.15000	       0.18676	                              
       2.16000	       0.20246	                              
       2.17000	       0.19661	                              
       2.18000	       0.17031	                              
       2.19000	       0.12175	                              
       2.20000	       0.07358	                              
       2.21000	       0.04488	                              
       2.22000	       0.01774	                              
       2.23000	      -0.01270	                              
       2.24000	      -0.03549	                              
       2.25000	      -0.04029	                              
       2.26000	      -0.04229	                              
       2.27000	      -0.06084	                              
       2.28000	      -0.07654	                              
       2.29000	      -0.07886	                              
       2.30000	      -0.08346	                              
       2.31000	      -0.10683	                              
       2.32000	      -0.13145	                              
       2.33000	      -0.12371	                              
       2.34000	      -0.09867	                              
       2.35000	      -0.09555	                              
       2.36000	      -0.12744	                              
       2.37000	      -0.15264	                              
       2.38000	      -0.15118	                              
       2.39000	      -0.14937	                              
       2.40000	      -0.16730	                              
       2.41000	      -0.18967	                              
       2.42000	      -0.19178	                              
       2.43000	      -0.17970	                              
       2.44000	      -0.17490	                              
       2.45000	      -0.19672	                              
       2.46000	      -0.21966	                              
       2.47000	      -0.20494	                              
       2.48000	      -0.17430	                              
       2.49000	      -0.15590	                              
       2.50000	      -0.16365	                              
       2.51000	      -0.17326	                              
       2.52000	      -0.15920	                              
       2.53000	      -0.14400	                              
       2.54000	      -0.12199	                              
       2.55000	      -0.11463	                              
       2.56000	      -0.12565	                              
       2.57000	      -0.10836	                              
       2.58000	      -0.06804	                              
       2.59000	      -0.03258	                              
       2.60000	      -0.03498	                              
       2.61000	      -0.04830	                              
       2.62000	      -0.05101	                              
       2.63000	      -0.04271	                              
       2.64000	      -0.02108	                              
       2.65000	       0.00156	                              
       2.66000	       0.01865	                              
       2.67000	       0.01126	                              
       2.68000	      -0.00435	                              
       2.69000	       0.02049	                              
       2.70000	       0.05085	                              
       2.71000	       0.08079	                              
       2.72000	       0.11850	                              
       2.73000	       0.13614	                              
       2.74000	       0.09692	                              
       2.75000	       0.01745	                              
       2.76000	      -0.04732	                              
       2.77000	      -0.07684	                              
       2.78000	      -0.08314	                              
       2.79000	      -0.07709	                              
       2.80000	      -0.09816	                              
       2.81000	      -0.13798	                              
       2.82000	      -0.15708	                              
       2.83000	      -0.14477	                              
       2.84000	      -0.12801	                              
       2.85000	      -0.13992	                              
       2.86000	      -0.15735	                              
       2.87000	      -0.12010	                              
       2.88000	      -0.07157	                              
       2.89000	      -0.07298	                              
       2.90000	      -0.11306	                              
       2.91000	      -0.13036	                              
       2.92000	      -0.09332	                              
       2.93000	      -0.02815	                              
       2.94000	       0.00241	                              
       2.95000	       0.01898	                              
       2.96000	       0.04259	                              
       2.97000	       0.07280	                              
       2.98000	       0.09999	                              
       2.99000	       0.08561	                              
       3.00000	       0.06785	                              
       3.01000	       0.08457	                              
       3.02000	       0.10967	                              
       3.03000	       0.10283	                              
       3.04000	       0.08389	                              
       3.05000	       0.08896	                              
       3.06000	       0.11602	                              
       3.07000	       0.14660	                              
       3.08000	       0.15103	                              
       3.09000	       0.14059	                              
       3.10000	       0.15209	                              
       3.11000	       0.18357	                              
       3.12000	       0.20780	                              
       3.13000	       0.20532	                              
       3.14000	       0.18551	                              
       3.15000	       0.17310	                              
       3.16000	       0.18611	                              
       3.17000	       0.20093	                              
       3.18000	       0.17084	                              
       3.19000	       0.13129	                              
       3.20000	       0.14344	                              
       3.21000	       0.18586	                              
       3.22000	       0.21243	                              
       3.23000	       0.20613	                              
       3.24000	       0.16295	                              
       3.25000	       0.11475	                              
       3.26000	       0.10342	                              
       3.27000	       0.13182	                              
       3.28000	       0.15122	                              
       3.29000	       0.12986	                              
       3.30000	       0.09286	                              
       3.31000	       0.08515	                              
       3.32000	       0.11566	                              
       3.33000	       0.12981	                              
       3.34000	       0.07869	                              
       3.35000	       0.01847	                              
       3.36000	       0.00728	                              
       3.37000	       0.04401	                              
       3.38000	       0.05682	                              
       3.39000	       0.05120	                              
       3.40000	       0.02947	                              
       3.41000	       0.02030	                              
