Time Series matched accelerogram: RSN949_NORTHR_ARL090.AT2
 
Time Step: 0.02 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.02000	      -0.00651	                              
       0.04000	       0.00018	                              
       0.06000	      -0.00291	                              
       0.08000	      -0.00298	                              
       0.10000	      -0.00506	                              
       0.12000	      -0.00502	                              
       0.14000	      -0.00299	                              
       0.16000	      -0.00408	                              
       0.18000	       0.00261	                              
       0.20000	       0.00300	                              
       0.22000	       0.00596	                              
       0.24000	       0.00436	                              
       0.26000	       0.01046	                              
       0.28000	       0.00088	                              
       0.30000	      -0.00103	                              
       0.32000	      -0.00165	                              
       0.34000	      -0.00431	                              
       0.36000	      -0.00261	                              
       0.38000	      -0.00601	                              
       0.40000	       0.00606	                              
       0.42000	      -0.00925	                              
       0.44000	       0.01458	                              
       0.46000	       0.00016	                              
       0.48000	       0.01148	                              
       0.50000	      -0.02345	                              
       0.52000	       0.00243	                              
       0.54000	      -0.00416	                              
       0.56000	      -0.02057	                              
       0.58000	      -0.00676	                              
       0.60000	      -0.02167	                              
       0.62000	       0.03648	                              
       0.64000	      -0.04852	                              
       0.66000	       0.02403	                              
       0.68000	      -0.03385	                              
       0.70000	       0.01283	                              
       0.72000	       0.00379	                              
       0.74000	      -0.06169	                              
       0.76000	       0.02585	                              
       0.78000	      -0.01291	                              
       0.80000	       0.00542	                              
       0.82000	      -0.02103	                              
       0.84000	      -0.01520	                              
       0.86000	      -0.00874	                              
       0.88000	      -0.00721	                              
       0.90000	       0.00275	                              
       0.92000	      -0.00978	                              
       0.94000	      -0.00489	                              
       0.96000	       0.00957	                              
       0.98000	       0.01693	                              
       1.00000	       0.02487	                              
       1.02000	       0.01049	                              
       1.04000	      -0.00289	                              
       1.06000	       0.01128	                              
       1.08000	       0.01275	                              
       1.10000	       0.00984	                              
       1.12000	      -0.01745	                              
       1.14000	       0.02166	                              
       1.16000	       0.02846	                              
       1.18000	       0.02066	                              
       1.20000	      -0.00872	                              
       1.22000	       0.00582	                              
       1.24000	       0.05213	                              
       1.26000	       0.02158	                              
       1.28000	      -0.01267	                              
       1.30000	      -0.03587	                              
       1.32000	       0.02806	                              
       1.34000	       0.03223	                              
       1.36000	      -0.01025	                              
       1.38000	      -0.02093	                              
       1.40000	       0.00471	                              
       1.42000	       0.03066	                              
       1.44000	       0.01669	                              
       1.46000	      -0.00153	                              
       1.48000	       0.00747	                              
       1.50000	       0.04273	                              
       1.52000	       0.04854	                              
       1.54000	      -0.00038	                              
       1.56000	       0.02012	                              
       1.58000	       0.02783	                              
       1.60000	       0.03288	                              
       1.62000	       0.01275	                              
       1.64000	      -0.00366	                              
       1.66000	       0.00472	                              
       1.68000	       0.03877	                              
       1.70000	       0.04309	                              
       1.72000	       0.00969	                              
       1.74000	       0.00537	                              
       1.76000	       0.04404	                              
       1.78000	       0.06917	                              
       1.80000	       0.03622	                              
       1.82000	       0.01021	                              
       1.84000	       0.00760	                              
       1.86000	      -0.00361	                              
       1.88000	       0.00509	                              
       1.90000	      -0.01992	                              
       1.92000	      -0.02553	                              
       1.94000	       0.01041	                              
       1.96000	       0.01193	                              
       1.98000	       0.00936	                              
       2.00000	      -0.02391	                              
       2.02000	       0.00571	                              
       2.04000	       0.00938	                              
       2.06000	       0.01645	                              
       2.08000	       0.02237	                              
       2.10000	       0.01510	                              
       2.12000	       0.01048	                              
       2.14000	       0.00493	                              
       2.16000	       0.02339	                              
       2.18000	      -0.00712	                              
       2.20000	       0.00672	                              
       2.22000	       0.01242	                              
       2.24000	       0.08199	                              
       2.26000	       0.03702	                              
       2.28000	      -0.00217	                              
       2.30000	      -0.00144	                              
       2.32000	      -0.03636	                              
       2.34000	      -0.02416	                              
       2.36000	      -0.01798	                              
       2.38000	      -0.05004	                              
       2.40000	       0.01430	                              
       2.42000	       0.05419	                              
       2.44000	      -0.00328	                              
       2.46000	      -0.03382	                              
       2.48000	      -0.05862	                              
       2.50000	       0.00855	                              
       2.52000	       0.02062	                              
       2.54000	       0.06891	                              
       2.56000	       0.07000	                              
       2.58000	       0.05022	                              
       2.60000	      -0.01180	                              
       2.62000	      -0.05204	                              
       2.64000	      -0.10580	                              
       2.66000	      -0.13092	                              
       2.68000	      -0.05734	                              
       2.70000	      -0.02643	                              
       2.72000	       0.02221	                              
       2.74000	      -0.03137	                              
       2.76000	      -0.05285	                              
       2.78000	      -0.05429	                              
       2.80000	      -0.07009	                              
       2.82000	      -0.03093	                              
       2.84000	      -0.00962	                              
       2.86000	       0.01706	                              
       2.88000	       0.05131	                              
       2.90000	       0.07335	                              
       2.92000	       0.03353	                              
       2.94000	      -0.02645	                              
       2.96000	       0.00318	                              
       2.98000	       0.07336	                              
       3.00000	       0.11704	                              
       3.02000	       0.08705	                              
       3.04000	       0.07910	                              
       3.06000	       0.01841	                              
       3.08000	      -0.09439	                              
       3.10000	      -0.12224	                              
       3.12000	      -0.16160	                              
       3.14000	      -0.12035	                              
       3.16000	      -0.10840	                              
       3.18000	      -0.12030	                              
       3.20000	      -0.16838	                              
       3.22000	      -0.23235	                              
       3.24000	      -0.23773	                              
       3.26000	      -0.25188	                              
       3.28000	      -0.29475	                              
       3.30000	      -0.23771	                              
       3.32000	      -0.12600	                              
       3.34000	      -0.13716	                              
       3.36000	      -0.18158	                              
