Time Series matched accelerogram: RSN960_NORTHR_LOS270.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	      -0.00066	                              
       0.02000	      -0.00064	                              
       0.03000	      -0.00063	                              
       0.04000	      -0.00062	                              
       0.05000	      -0.00062	                              
       0.06000	      -0.00060	                              
       0.07000	      -0.00057	                              
       0.08000	      -0.00055	                              
       0.09000	      -0.00056	                              
       0.10000	      -0.00056	                              
       0.11000	      -0.00057	                              
       0.12000	      -0.00058	                              
       0.13000	      -0.00058	                              
       0.14000	      -0.00056	                              
       0.15000	      -0.00046	                              
       0.16000	      -0.00032	                              
       0.17000	      -0.00025	                              
       0.18000	      -0.00024	                              
       0.19000	      -0.00032	                              
       0.20000	      -0.00041	                              
       0.21000	      -0.00043	                              
       0.22000	      -0.00038	                              
       0.23000	      -0.00015	                              
       0.24000	       0.00020	                              
       0.25000	       0.00063	                              
       0.26000	       0.00086	                              
       0.27000	       0.00054	                              
       0.28000	       0.00033	                              
       0.29000	       0.00048	                              
       0.30000	       0.00060	                              
       0.31000	       0.00052	                              
       0.32000	       0.00041	                              
       0.33000	       0.00049	                              
       0.34000	       0.00064	                              
       0.35000	       0.00061	                              
       0.36000	       0.00030	                              
       0.37000	      -0.00018	                              
       0.38000	      -0.00010	                              
       0.39000	       0.00030	                              
       0.40000	       0.00041	                              
       0.41000	       0.00006	                              
       0.42000	      -0.00032	                              
       0.43000	      -0.00044	                              
       0.44000	      -0.00040	                              
       0.45000	      -0.00038	                              
       0.46000	      -0.00036	                              
       0.47000	      -0.00023	                              
       0.48000	       0.00089	                              
       0.49000	       0.00249	                              
       0.50000	       0.00385	                              
       0.51000	       0.00489	                              
       0.52000	       0.00593	                              
       0.53000	       0.00625	                              
       0.54000	       0.00557	                              
       0.55000	       0.00524	                              
       0.56000	       0.00394	                              
       0.57000	       0.00269	                              
       0.58000	       0.00219	                              
       0.59000	       0.00211	                              
       0.60000	       0.00165	                              
       0.61000	       0.00050	                              
       0.62000	      -0.00064	                              
       0.63000	      -0.00151	                              
       0.64000	      -0.00172	                              
       0.65000	      -0.00168	                              
       0.66000	      -0.00187	                              
       0.67000	      -0.00151	                              
       0.68000	       0.00079	                              
       0.69000	       0.00372	                              
       0.70000	       0.00474	                              
       0.71000	       0.00396	                              
       0.72000	       0.00237	                              
       0.73000	       0.00027	                              
       0.74000	      -0.00243	                              
       0.75000	      -0.00461	                              
       0.76000	      -0.00632	                              
       0.77000	      -0.00665	                              
       0.78000	      -0.00457	                              
       0.79000	      -0.00084	                              
       0.80000	       0.00110	                              
       0.81000	       0.00153	                              
       0.82000	       0.00235	                              
       0.83000	       0.00370	                              
       0.84000	       0.00506	                              
       0.85000	       0.00553	                              
       0.86000	       0.00548	                              
       0.87000	       0.00537	                              
       0.88000	       0.00435	                              
       0.89000	       0.00272	                              
       0.90000	      -0.00067	                              
       0.91000	      -0.00521	                              
       0.92000	      -0.00861	                              
       0.93000	      -0.00960	                              
       0.94000	      -0.00988	                              
       0.95000	      -0.01088	                              
       0.96000	      -0.01219	                              
       0.97000	      -0.01154	                              
       0.98000	      -0.00989	                              
       0.99000	      -0.00883	                              
       1.00000	      -0.00801	                              
       1.01000	      -0.00562	                              
       1.02000	      -0.00127	                              
       1.03000	       0.00345	                              
       1.04000	       0.00649	                              
       1.05000	       0.00873	                              
       1.06000	       0.01240	                              
       1.07000	       0.01565	                              
       1.08000	       0.01470	                              
       1.09000	       0.01079	                              
       1.10000	       0.00530	                              
       1.11000	      -0.00088	                              
       1.12000	      -0.00530	                              
       1.13000	      -0.00560	                              
       1.14000	      -0.00271	                              
       1.15000	       0.00144	                              
       1.16000	       0.00583	                              
       1.17000	       0.01056	                              
       1.18000	       0.01351	                              
       1.19000	       0.01316	                              
       1.20000	       0.01104	                              
       1.21000	       0.00914	                              
       1.22000	       0.00809	                              
       1.23000	       0.00721	                              
       1.24000	       0.00509	                              
       1.25000	       0.00185	                              
       1.26000	      -0.00246	                              
       1.27000	      -0.00693	                              
       1.28000	      -0.01014	                              
       1.29000	      -0.01184	                              
       1.30000	      -0.01101	                              
       1.31000	      -0.00743	                              
       1.32000	      -0.00465	                              
       1.33000	      -0.00254	                              
       1.34000	       0.00118	                              
       1.35000	       0.00554	                              
       1.36000	       0.00824	                              
       1.37000	       0.00811	                              
       1.38000	       0.00559	                              
       1.39000	       0.00282	                              
       1.40000	       0.00111	                              
       1.41000	      -0.00007	                              
       1.42000	      -0.00020	                              
       1.43000	       0.00199	                              
       1.44000	       0.00554	                              
       1.45000	       0.00792	                              
       1.46000	       0.00829	                              
       1.47000	       0.00794	                              
       1.48000	       0.00637	                              
       1.49000	       0.00353	                              
       1.50000	       0.00063	                              
       1.51000	      -0.00133	                              
       1.52000	      -0.00161	                              
       1.53000	      -0.00125	                              
       1.54000	      -0.00034	                              
       1.55000	       0.00043	                              
       1.56000	      -0.00003	                              
       1.57000	      -0.00112	                              
       1.58000	      -0.00057	                              
       1.59000	       0.00255	                              
       1.60000	       0.00325	                              
       1.61000	      -0.00117	                              
       1.62000	      -0.00601	                              
       1.63000	      -0.00766	                              
       1.64000	      -0.00846	                              
       1.65000	      -0.01072	                              
       1.66000	      -0.01378	                              
       1.67000	      -0.01537	                              
       1.68000	      -0.01156	                              
       1.69000	      -0.00264	                              
       1.70000	       0.00641	                              
       1.71000	       0.01385	                              
       1.72000	       0.02058	                              
       1.73000	       0.02529	                              
       1.74000	       0.02601	                              
       1.75000	       0.02387	                              
       1.76000	       0.02073	                              
       1.77000	       0.01798	                              
       1.78000	       0.01577	                              
       1.79000	       0.01525	                              
       1.80000	       0.01757	                              
       1.81000	       0.02113	                              
       1.82000	       0.02250	                              
       1.83000	       0.01978	                              
       1.84000	       0.01277	                              
       1.85000	       0.00412	                              
       1.86000	      -0.00271	                              
       1.87000	      -0.00503	                              
       1.88000	      -0.00602	                              
       1.89000	      -0.01037	                              
       1.90000	      -0.01660	                              
       1.91000	      -0.02230	                              
       1.92000	      -0.02837	                              
       1.93000	      -0.03551	                              
       1.94000	      -0.04061	                              
       1.95000	      -0.04008	                              
       1.96000	      -0.03236	                              
       1.97000	      -0.01837	                              
       1.98000	      -0.00317	                              
       1.99000	       0.00690	                              
       2.00000	       0.01052	                              
       2.01000	       0.00892	                              
       2.02000	       0.00474	                              
       2.03000	       0.00087	                              
       2.04000	      -0.00186	                              
       2.05000	      -0.00225	                              
       2.06000	      -0.00019	                              
       2.07000	       0.00253	                              
       2.08000	       0.00516	                              
       2.09000	       0.00590	                              
       2.10000	       0.00441	                              
       2.11000	       0.00212	                              
       2.12000	      -0.00200	                              
       2.13000	      -0.00812	                              
       2.14000	      -0.01555	                              
       2.15000	      -0.02299	                              
       2.16000	      -0.03000	                              
       2.17000	      -0.03704	                              
       2.18000	      -0.04400	                              
       2.19000	      -0.04965	                              
       2.20000	      -0.05302	                              
       2.21000	      -0.05187	                              
       2.22000	      -0.04639	                              
       2.23000	      -0.03872	                              
       2.24000	      -0.03134	                              
       2.25000	      -0.02359	                              
       2.26000	      -0.01390	                              
       2.27000	      -0.00399	                              
       2.28000	       0.00211	                              
       2.29000	       0.00383	                              
       2.30000	       0.00113	                              
       2.31000	      -0.00365	                              
       2.32000	      -0.00770	                              
       2.33000	      -0.00799	                              
       2.34000	      -0.00284	                              
       2.35000	       0.00671	                              
       2.36000	       0.02072	                              
       2.37000	       0.03523	                              
       2.38000	       0.04446	                              
       2.39000	       0.04697	                              
       2.40000	       0.04337	                              
       2.41000	       0.03667	                              
       2.42000	       0.03006	                              
       2.43000	       0.02436	                              
       2.44000	       0.01916	                              
       2.45000	       0.01658	                              
       2.46000	       0.01974	                              
       2.47000	       0.02178	                              
       2.48000	       0.01510	                              
       2.49000	       0.00375	                              
       2.50000	      -0.00572	                              
       2.51000	      -0.01288	                              
       2.52000	      -0.01354	                              
       2.53000	      -0.00702	                              
       2.54000	       0.00085	                              
       2.55000	       0.00651	                              
       2.56000	       0.00484	                              
       2.57000	       0.00450	                              
       2.58000	       0.01165	                              
       2.59000	       0.01760	                              
       2.60000	       0.01589	                              
       2.61000	       0.00942	                              
       2.62000	       0.00265	                              
       2.63000	       0.00129	                              
       2.64000	       0.00678	                              
       2.65000	       0.01235	                              
       2.66000	       0.01231	                              
       2.67000	       0.00639	                              
       2.68000	      -0.00034	                              
       2.69000	      -0.00998	                              
       2.70000	      -0.02175	                              
       2.71000	      -0.02830	                              
       2.72000	      -0.02476	                              
       2.73000	      -0.01306	                              
       2.74000	       0.00248	                              
       2.75000	       0.01458	                              
       2.76000	       0.02124	                              
       2.77000	       0.02490	                              
       2.78000	       0.02556	                              
       2.79000	       0.01960	                              
       2.80000	       0.00279	                              
       2.81000	      -0.01795	                              
       2.82000	      -0.03218	                              
       2.83000	      -0.03225	                              
       2.84000	      -0.01922	                              
       2.85000	      -0.00477	                              
       2.86000	       0.00764	                              
       2.87000	       0.01806	                              
       2.88000	       0.02102	                              
       2.89000	       0.01592	                              
       2.90000	       0.01084	                              
       2.91000	       0.01262	                              
       2.92000	       0.02070	                              
       2.93000	       0.02950	                              
       2.94000	       0.03473	                              
       2.95000	       0.03476	                              
       2.96000	       0.02820	                              
       2.97000	       0.01822	                              
       2.98000	       0.01110	                              
       2.99000	       0.00452	                              
       3.00000	       0.00007	                              
       3.01000	      -0.00039	                              
       3.02000	       0.00312	                              
       3.03000	       0.01172	                              
       3.04000	       0.02237	                              
       3.05000	       0.02965	                              
       3.06000	       0.03133	                              
       3.07000	       0.02868	                              
       3.08000	       0.02527	                              
       3.09000	       0.02082	                              
       3.10000	       0.01318	                              
       3.11000	       0.00426	                              
       3.12000	      -0.00499	                              
       3.13000	      -0.01314	                              
       3.14000	      -0.01945	                              
       3.15000	      -0.02412	                              
       3.16000	      -0.02457	                              
       3.17000	      -0.01783	                              
       3.18000	      -0.00461	                              
       3.19000	       0.01050	                              
       3.20000	       0.02288	                              
       3.21000	       0.03429	                              
       3.22000	       0.04448	                              
       3.23000	       0.05063	                              
       3.24000	       0.05072	                              
       3.25000	       0.04364	                              
       3.26000	       0.03110	                              
       3.27000	       0.01462	                              
       3.28000	      -0.00209	                              
       3.29000	      -0.01787	                              
       3.30000	      -0.03083	                              
       3.31000	      -0.03308	                              
       3.32000	      -0.02445	                              
       3.33000	      -0.01778	                              
       3.34000	      -0.02241	                              
       3.35000	      -0.03398	                              
       3.36000	      -0.04335	                              
       3.37000	      -0.04801	                              
       3.38000	      -0.04816	                              
       3.39000	      -0.04352	                              
       3.40000	      -0.03474	                              
       3.41000	      -0.02407	                              
       3.42000	      -0.01295	                              
       3.43000	      -0.00289	                              
       3.44000	       0.00412	                              
       3.45000	       0.00505	                              
       3.46000	      -0.00143	                              
       3.47000	      -0.01256	                              
       3.48000	      -0.02498	                              
       3.49000	      -0.03409	                              
       3.50000	      -0.03645	                              
       3.51000	      -0.03527	                              
       3.52000	      -0.03261	                              
       3.53000	      -0.03052	                              
       3.54000	      -0.02880	                              
       3.55000	      -0.02571	                              
       3.56000	      -0.02135	                              
       3.57000	      -0.01644	                              
       3.58000	      -0.01008	                              
       3.59000	       0.00002	                              
       3.60000	       0.01146	                              
       3.61000	       0.02061	                              
       3.62000	       0.02606	                              
       3.63000	       0.02753	                              
       3.64000	       0.02684	                              
       3.65000	       0.02664	                              
       3.66000	       0.02780	                              
       3.67000	       0.03196	                              
       3.68000	       0.04021	                              
       3.69000	       0.05132	                              
       3.70000	       0.06337	                              
       3.71000	       0.07651	                              
       3.72000	       0.08709	                              
       3.73000	       0.09401	                              
       3.74000	       0.09919	                              
       3.75000	       0.10153	                              
       3.76000	       0.09784	                              
       3.77000	       0.07524	                              
       3.78000	       0.03022	                              
       3.79000	      -0.01634	                              
       3.80000	      -0.05083	                              
       3.81000	      -0.07414	                              
       3.82000	      -0.08917	                              
       3.83000	      -0.09802	                              
       3.84000	      -0.10058	                              
       3.85000	      -0.09758	                              
       3.86000	      -0.08934	                              
       3.87000	      -0.06604	                              
       3.88000	      -0.02891	                              
       3.89000	       0.00063	                              
       3.90000	       0.01313	                              
       3.91000	       0.01215	                              
       3.92000	      -0.00101	                              
       3.93000	      -0.02805	                              
       3.94000	      -0.05844	                              
       3.95000	      -0.08654	                              
       3.96000	      -0.10975	                              
       3.97000	      -0.12493	                              
       3.98000	      -0.13239	                              
       3.99000	      -0.13195	                              
       4.00000	      -0.11413	                              
       4.01000	      -0.05540	                              
       4.02000	       0.02717	                              
       4.03000	       0.10442	                              
       4.04000	       0.15074	                              
       4.05000	       0.15844	                              
       4.06000	       0.14847	                              
       4.07000	       0.11790	                              
       4.08000	       0.06216	                              
       4.09000	      -0.00437	                              
       4.10000	      -0.06884	                              
       4.11000	      -0.10539	                              
       4.12000	      -0.10646	                              
       4.13000	      -0.08589	                              
       4.14000	      -0.04604	                              
       4.15000	       0.00368	                              
       4.16000	       0.05173	                              
       4.17000	       0.09578	                              
       4.18000	       0.11445	                              
       4.19000	       0.08442	                              
       4.20000	       0.02244	                              
       4.21000	      -0.03857	                              
       4.22000	      -0.08637	                              
       4.23000	      -0.12122	                              
       4.24000	      -0.15105	                              
       4.25000	      -0.17565	                              
       4.26000	      -0.18652	                              
       4.27000	      -0.17314	                              
       4.28000	      -0.11310	                              
       4.29000	      -0.02450	                              
       4.30000	       0.03854	                              
       4.31000	       0.07024	                              
       4.32000	       0.07698	                              
       4.33000	       0.06878	                              
       4.34000	       0.05100	                              
       4.35000	       0.03955	                              
       4.36000	       0.04384	                              
       4.37000	       0.05477	                              
       4.38000	       0.06350	                              
       4.39000	       0.07181	                              
       4.40000	       0.08251	                              
       4.41000	       0.09478	                              
       4.42000	       0.10555	                              
       4.43000	       0.11412	                              
       4.44000	       0.11923	                              
       4.45000	       0.11819	                              
       4.46000	       0.11396	                              
       4.47000	       0.11983	                              
       4.48000	       0.13915	                              
       4.49000	       0.16480	                              
       4.50000	       0.19098	                              
       4.51000	       0.21323	                              
       4.52000	       0.23454	                              
       4.53000	       0.24354	                              
       4.54000	       0.22877	                              
       4.55000	       0.19463	                              
       4.56000	       0.15230	                              
       4.57000	       0.11347	                              
       4.58000	       0.08324	                              
       4.59000	       0.05714	                              
       4.60000	       0.03289	                              
       4.61000	       0.01132	                              
       4.62000	      -0.00928	                              
       4.63000	      -0.02957	                              
       4.64000	      -0.04947	                              
       4.65000	      -0.06647	                              
       4.66000	      -0.08002	                              
       4.67000	      -0.08933	                              
       4.68000	      -0.09042	                              
       4.69000	      -0.08256	                              
       4.70000	      -0.07480	                              
       4.71000	      -0.06770	                              
       4.72000	      -0.05380	                              
       4.73000	      -0.04577	                              
       4.74000	      -0.05771	                              
       4.75000	      -0.08257	                              
       4.76000	      -0.11501	                              
       4.77000	      -0.14795	                              
       4.78000	      -0.17458	                              
       4.79000	      -0.18925	                              
       4.80000	      -0.20042	                              
       4.81000	      -0.21780	                              
       4.82000	      -0.24127	                              
       4.83000	      -0.27514	                              
       4.84000	      -0.30902	                              
       4.85000	      -0.32129	                              
       4.86000	      -0.31083	                              
       4.87000	      -0.28521	                              
       4.88000	      -0.25275	                              
       4.89000	      -0.22398	                              
       4.90000	      -0.20908	                              
       4.91000	      -0.20824	                              
       4.92000	      -0.21688	                              
       4.93000	      -0.22519	                              
       4.94000	      -0.23245	                              
       4.95000	      -0.24140	                              
       4.96000	      -0.19185	                              
       4.97000	       0.01628	                              
       4.98000	       0.24578	                              
       4.99000	       0.34899	                              
       5.00000	       0.35604	                              
       5.01000	       0.31966	                              
       5.02000	       0.29154	                              
       5.03000	       0.30966	                              
       5.04000	       0.34740	                              
       5.05000	       0.33028	                              
       5.06000	       0.24677	                              
       5.07000	       0.18483	                              
       5.08000	       0.20976	                              
       5.09000	       0.27035	                              
       5.10000	       0.28414	                              
       5.11000	       0.18428	                              
       5.12000	       0.01912	                              
       5.13000	      -0.10161	                              
       5.14000	      -0.15721	                              
       5.15000	      -0.15997	                              
       5.16000	      -0.13499	                              
       5.17000	      -0.06402	                              
       5.18000	       0.04192	                              
       5.19000	       0.11416	                              
       5.20000	       0.14901	                              
       5.21000	       0.17491	                              
       5.22000	       0.19124	                              
       5.23000	       0.19177	                              
       5.24000	       0.16857	                              
       5.25000	       0.11882	                              
       5.26000	       0.05307	                              
       5.27000	      -0.01533	                              
       5.28000	      -0.07439	                              
       5.29000	      -0.11274	                              
       5.30000	      -0.12781	                              
       5.31000	      -0.12296	                              
       5.32000	      -0.10010	                              
       5.33000	      -0.07531	                              
       5.34000	      -0.05557	                              
       5.35000	      -0.04011	                              
       5.36000	      -0.03470	                              
       5.37000	      -0.03629	                              
       5.38000	      -0.03981	                              
       5.39000	      -0.05015	                              
       5.40000	      -0.06649	                              
       5.41000	      -0.09123	                              
       5.42000	      -0.12551	                              
       5.43000	      -0.16175	                              
       5.44000	      -0.20469	                              
       5.45000	      -0.25532	                              
       5.46000	      -0.29286	                              
       5.47000	      -0.31081	                              
       5.48000	      -0.29508	                              
       5.49000	      -0.24867	                              
       5.50000	      -0.20919	                              
       5.51000	      -0.17441	                              
       5.52000	      -0.14519	                              
       5.53000	      -0.12527	                              
       5.54000	      -0.10634	                              
       5.55000	      -0.08220	                              
       5.56000	      -0.05324	                              
       5.57000	      -0.02357	                              
       5.58000	       0.00505	                              
       5.59000	       0.03354	                              
       5.60000	       0.06435	                              
       5.61000	       0.09499	                              
       5.62000	       0.11395	                              
       5.63000	       0.12242	                              
       5.64000	       0.12754	                              
       5.65000	       0.12790	                              
       5.66000	       0.12246	                              
