Time Series matched accelerogram: RSN998_NORTHR_WST270.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	       0.00118	                              
       0.02000	       0.00118	                              
       0.03000	       0.00118	                              
       0.04000	       0.00117	                              
       0.05000	       0.00117	                              
       0.06000	       0.00116	                              
       0.07000	       0.00117	                              
       0.08000	       0.00117	                              
       0.09000	       0.00115	                              
       0.10000	       0.00112	                              
       0.11000	       0.00114	                              
       0.12000	       0.00117	                              
       0.13000	       0.00116	                              
       0.14000	       0.00115	                              
       0.15000	       0.00115	                              
       0.16000	       0.00115	                              
       0.17000	       0.00114	                              
       0.18000	       0.00110	                              
       0.19000	       0.00105	                              
       0.20000	       0.00110	                              
       0.21000	       0.00113	                              
       0.22000	       0.00109	                              
       0.23000	       0.00094	                              
       0.24000	       0.00083	                              
       0.25000	       0.00081	                              
       0.26000	       0.00079	                              
       0.27000	       0.00075	                              
       0.28000	       0.00072	                              
       0.29000	       0.00069	                              
       0.30000	       0.00065	                              
       0.31000	       0.00074	                              
       0.32000	       0.00101	                              
       0.33000	       0.00127	                              
       0.34000	       0.00128	                              
       0.35000	       0.00119	                              
       0.36000	       0.00071	                              
       0.37000	       0.00031	                              
       0.38000	       0.00030	                              
       0.39000	       0.00033	                              
       0.40000	       0.00026	                              
       0.41000	       0.00017	                              
       0.42000	       0.00010	                              
       0.43000	       0.00006	                              
       0.44000	       0.00001	                              
       0.45000	      -0.00004	                              
       0.46000	      -0.00009	                              
       0.47000	      -0.00014	                              
       0.48000	      -0.00019	                              
       0.49000	      -0.00024	                              
       0.50000	       0.00001	                              
       0.51000	       0.00023	                              
       0.52000	      -0.00028	                              
       0.53000	      -0.00045	                              
       0.54000	       0.00023	                              
       0.55000	       0.00071	                              
       0.56000	       0.00061	                              
       0.57000	       0.00049	                              
       0.58000	      -0.00007	                              
       0.59000	      -0.00091	                              
       0.60000	      -0.00088	                              
       0.61000	       0.00010	                              
       0.62000	       0.00025	                              
       0.63000	      -0.00041	                              
       0.64000	      -0.00053	                              
       0.65000	      -0.00111	                              
       0.66000	      -0.00163	                              
       0.67000	      -0.00236	                              
       0.68000	      -0.00249	                              
       0.69000	      -0.00258	                              
       0.70000	      -0.00269	                              
       0.71000	      -0.00354	                              
       0.72000	      -0.00377	                              
       0.73000	      -0.00263	                              
       0.74000	      -0.00146	                              
       0.75000	      -0.00035	                              
       0.76000	       0.00005	                              
       0.77000	      -0.00011	                              
       0.78000	      -0.00019	                              
       0.79000	      -0.00017	                              
       0.80000	      -0.00019	                              
       0.81000	      -0.00023	                              
       0.82000	      -0.00029	                              
       0.83000	      -0.00038	                              
       0.84000	      -0.00048	                              
       0.85000	      -0.00055	                              
       0.86000	      -0.00058	                              
       0.87000	      -0.00066	                              
       0.88000	      -0.00238	                              
       0.89000	      -0.00464	                              
       0.90000	      -0.00399	                              
       0.91000	      -0.00329	                              
       0.92000	      -0.00356	                              
       0.93000	      -0.00377	                              
       0.94000	      -0.00382	                              
       0.95000	      -0.00491	                              
       0.96000	      -0.00515	                              
       0.97000	      -0.00209	                              
       0.98000	       0.00183	                              
       0.99000	       0.00540	                              
       1.00000	       0.00794	                              
       1.01000	       0.00822	                              
       1.02000	       0.00522	                              
       1.03000	       0.00181	                              
       1.04000	       0.00156	                              
       1.05000	       0.00136	                              
       1.06000	      -0.00083	                              
       1.07000	      -0.00182	                              
       1.08000	      -0.00150	                              
       1.09000	      -0.00175	                              
       1.10000	      -0.00344	                              
       1.11000	      -0.00289	                              
       1.12000	      -0.00058	                              
       1.13000	       0.00169	                              
       1.14000	       0.00357	                              
       1.15000	       0.00351	                              
       1.16000	       0.00128	                              
       1.17000	      -0.00131	                              
       1.18000	      -0.00233	                              
       1.19000	      -0.00211	                              
       1.20000	      -0.00202	                              
       1.21000	      -0.00221	                              
       1.22000	      -0.00233	                              
       1.23000	      -0.00168	                              
       1.24000	      -0.00030	                              
       1.25000	      -0.00155	                              
       1.26000	      -0.00270	                              
       1.27000	      -0.00253	                              
       1.28000	      -0.00333	                              
       1.29000	      -0.00825	                              
       1.30000	      -0.01138	                              
