MEAN MATCHED SPECTRUM
 
 
Accelerograms used:
RSN949_NORTHR_ARL090.AT2
RSN960_NORTHR_LOS270.AT2
RSN998_NORTHR_WST270.AT2
RSN1045_NORTHR_WPI316.AT2
RSN3749_CAPEMEND_FFT360.AT2
RSN4458_MONTENE.GRO_ULO000.AT2
RSN5814_IWATE_44B91EW.AT2
 
Maximum Misfit: 10.96854%
Average Misfit: 4.40458%
Max Sa:         0.97097g
 
T(sec)		Sa (g)
0.00000		0.46238
0.02000		0.46963
0.04000		0.53472
0.06000		0.66754
0.08000		0.77580
0.10000		0.87869
0.12000		0.87968
0.14000		0.87786
0.16000		0.87942
0.18000		0.87868
0.20000		0.92200
0.22000		0.91139
0.24000		0.91908
0.26000		0.89999
0.28000		0.90709
0.30000		0.91917
0.32000		0.91844
0.34000		0.94907
0.36000		0.92095
0.38000		0.91733
0.40000		0.93967
0.42000		0.97097
0.44000		0.96987
0.46000		0.92210
0.48000		0.89504
0.50000		0.89239
0.52000		0.90731
0.54000		0.89844
0.56000		0.91129
0.58000		0.91808
0.60000		0.91576
0.62000		0.91198
0.64000		0.90076
0.66000		0.87933
0.68000		0.88933
0.70000		0.87925
0.72000		0.87945
0.74000		0.87479
0.76000		0.85498
0.78000		0.82147
0.80000		0.80828
0.82000		0.79271
0.84000		0.77410
0.86000		0.75171
0.88000		0.73015
0.90000		0.71242
0.92000		0.69619
0.94000		0.68999
0.96000		0.67283
0.98000		0.65795
1.00000		0.63562
1.02000		0.61093
1.04000		0.58887
1.06000		0.57364
1.08000		0.56523
1.10000		0.55084
1.12000		0.54426
1.14000		0.53360
1.16000		0.52356
1.18000		0.51285
1.20000		0.50015
1.22000		0.48495
1.24000		0.47029
1.26000		0.44862
1.28000		0.42701
1.30000		0.41361
1.32000		0.40361
1.34000		0.39375
1.36000		0.38538
1.38000		0.37625
1.40000		0.36740
1.42000		0.36105
1.44000		0.35522
1.46000		0.34731
1.48000		0.34600
1.50000		0.34937
1.52000		0.35210
1.54000		0.35694
1.56000		0.36114
1.58000		0.36366
1.60000		0.37030
1.62000		0.37952
1.64000		0.38671
1.66000		0.39375
1.68000		0.39847
1.70000		0.39923
1.72000		0.39670
1.74000		0.39239
1.76000		0.38584
1.78000		0.37843
1.80000		0.37400
1.82000		0.36881
1.84000		0.36642
1.86000		0.36304
1.88000		0.35842
1.90000		0.35318
1.92000		0.34715
1.94000		0.34328
1.96000		0.34064
1.98000		0.33790
2.00000		0.33436
2.02000		0.32991
2.04000		0.32656
2.06000		0.32231
2.08000		0.31613
2.10000		0.31087
2.12000		0.30581
2.14000		0.29982
2.16000		0.29536
2.18000		0.29240
2.20000		0.28883
2.22000		0.28421
2.24000		0.27884
2.26000		0.27343
2.28000		0.26805
2.30000		0.26596
2.32000		0.26312
2.34000		0.25954
2.36000		0.25527
2.38000		0.25046
2.40000		0.24568
