Time Series matched accelerogram: RSN962_NORTHR_WAT180.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	       0.00179	                              
       0.02000	       0.00181	                              
       0.03000	       0.00183	                              
       0.04000	       0.00185	                              
       0.05000	       0.00186	                              
       0.06000	       0.00188	                              
       0.07000	       0.00191	                              
       0.08000	       0.00192	                              
       0.09000	       0.00190	                              
       0.10000	       0.00191	                              
       0.11000	       0.00192	                              
       0.12000	       0.00192	                              
       0.13000	       0.00198	                              
       0.14000	       0.00203	                              
       0.15000	       0.00207	                              
       0.16000	       0.00205	                              
       0.17000	       0.00204	                              
       0.18000	       0.00210	                              
       0.19000	       0.00207	                              
       0.20000	       0.00199	                              
       0.21000	       0.00198	                              
       0.22000	       0.00194	                              
       0.23000	       0.00186	                              
       0.24000	       0.00188	                              
       0.25000	       0.00191	                              
       0.26000	       0.00196	                              
       0.27000	       0.00189	                              
       0.28000	       0.00170	                              
       0.29000	       0.00157	                              
       0.30000	       0.00168	                              
       0.31000	       0.00183	                              
       0.32000	       0.00196	                              
       0.33000	       0.00216	                              
       0.34000	       0.00226	                              
       0.35000	       0.00205	                              
       0.36000	       0.00182	                              
       0.37000	       0.00165	                              
       0.38000	       0.00177	                              
       0.39000	       0.00174	                              
       0.40000	       0.00159	                              
       0.41000	       0.00143	                              
       0.42000	       0.00139	                              
       0.43000	       0.00163	                              
       0.44000	       0.00167	                              
       0.45000	       0.00162	                              
       0.46000	       0.00164	                              
       0.47000	       0.00188	                              
       0.48000	       0.00183	                              
       0.49000	       0.00160	                              
       0.50000	       0.00160	                              
       0.51000	       0.00173	                              
       0.52000	       0.00170	                              
       0.53000	       0.00095	                              
       0.54000	      -0.00037	                              
       0.55000	      -0.00050	                              
       0.56000	       0.00134	                              
       0.57000	       0.00220	                              
       0.58000	       0.00183	                              
       0.59000	       0.00174	                              
       0.60000	       0.00199	                              
       0.61000	       0.00203	                              
       0.62000	       0.00199	                              
       0.63000	       0.00206	                              
       0.64000	       0.00209	                              
       0.65000	       0.00216	                              
       0.66000	       0.00272	                              
       0.67000	       0.00259	                              
       0.68000	       0.00138	                              
       0.69000	      -0.00087	                              
       0.70000	      -0.00181	                              
       0.71000	      -0.00156	                              
       0.72000	      -0.00145	                              
       0.73000	      -0.00161	                              
       0.74000	      -0.00113	                              
       0.75000	       0.00009	                              
       0.76000	       0.00023	                              
       0.77000	      -0.00098	                              
       0.78000	      -0.00169	                              
       0.79000	      -0.00068	                              
       0.80000	       0.00118	                              
       0.81000	       0.00256	                              
       0.82000	       0.00275	                              
       0.83000	       0.00081	                              
       0.84000	      -0.00140	                              
       0.85000	      -0.00200	                              
       0.86000	      -0.00184	                              
       0.87000	      -0.00230	                              
       0.88000	      -0.00261	                              
       0.89000	      -0.00264	                              
       0.90000	      -0.00407	                              
       0.91000	      -0.00324	                              
       0.92000	      -0.00143	                              
       0.93000	      -0.00116	                              
       0.94000	      -0.00036	                              
       0.95000	       0.00254	                              
       0.96000	       0.00457	                              
       0.97000	       0.00375	                              
       0.98000	       0.00389	                              
       0.99000	       0.00332	                              
       1.00000	       0.00062	                              
       1.01000	      -0.00104	                              
       1.02000	      -0.00069	                              
       1.03000	       0.00040	                              
       1.04000	      -0.00093	                              
       1.05000	      -0.00385	                              
       1.06000	      -0.00466	                              
       1.07000	      -0.00486	                              
       1.08000	      -0.00554	                              
       1.09000	      -0.00546	                              
       1.10000	      -0.00371	                              
       1.11000	      -0.00106	                              
       1.12000	      -0.00042	                              
       1.13000	      -0.00003	                              
       1.14000	       0.00176	                              
       1.15000	       0.00430	                              
       1.16000	       0.00704	                              
       1.17000	       0.01000	                              
       1.18000	       0.00991	                              
       1.19000	       0.00378	                              
       1.20000	      -0.00264	                              
       1.21000	      -0.00465	                              
       1.22000	      -0.00334	                              
       1.23000	      -0.00323	                              
       1.24000	      -0.00001	                              
       1.25000	       0.00269	                              
       1.26000	       0.00076	                              
       1.27000	      -0.00144	                              
       1.28000	      -0.00172	                              
       1.29000	      -0.00379	                              
       1.30000	      -0.00376	                              
       1.31000	      -0.00238	                              
       1.32000	      -0.00268	                              
       1.33000	      -0.00255	                              
       1.34000	      -0.00425	                              
       1.35000	      -0.00626	                              
       1.36000	      -0.00602	                              
       1.37000	      -0.00553	                              
       1.38000	      -0.00563	                              
       1.39000	      -0.00527	                              
       1.40000	      -0.00464	                              
       1.41000	      -0.00090	                              
       1.42000	       0.00669	                              
       1.43000	       0.01418	                              
       1.44000	       0.01596	                              
       1.45000	       0.01048	                              
       1.46000	       0.00403	                              
       1.47000	      -0.00207	                              
       1.48000	      -0.00419	                              
       1.49000	      -0.00384	                              
       1.50000	      -0.00741	                              
       1.51000	      -0.01339	                              
       1.52000	      -0.01195	                              
       1.53000	      -0.00770	                              
       1.54000	      -0.00746	                              
       1.55000	      -0.01048	                              
       1.56000	      -0.00707	                              
       1.57000	       0.00116	                              
       1.58000	       0.00637	                              
       1.59000	       0.00843	                              
       1.60000	       0.01011	                              
       1.61000	       0.01183	                              
       1.62000	       0.01225	                              
       1.63000	       0.00639	                              
       1.64000	      -0.00294	                              
       1.65000	      -0.00927	                              
       1.66000	      -0.01116	                              
       1.67000	      -0.00950	                              
       1.68000	      -0.00742	                              
       1.69000	      -0.00393	                              
       1.70000	       0.00244	                              
       1.71000	       0.00661	                              
       1.72000	       0.00719	                              
       1.73000	       0.00995	                              
       1.74000	       0.01179	                              
