MEAN MATCHED SPECTRUM
 
 
Accelerograms used:
RSN962_NORTHR_WAT180.AT2
RSN2990_CHICHI.05_CHY107N.AT2
RSN3285_CHICHI.06_CHY054E.AT2
RSN3319_CHICHI.06_CHY107W.AT2
RSN5117_CHUETSU_ISK002NS.AT2
RSN5470_IWATE_AKT015EW.AT2
RSN5665_IWATE_MYG006EW.AT2
 
Maximum Misfit: 16.50897%
Average Misfit: 6.01772%
Max Sa:         1.01945g
 
T(sec)		Sa (g)
0.00000		0.44821
0.02000		0.45314
0.04000		0.48256
0.06000		0.66699
0.08000		0.77271
0.10000		0.91904
0.12000		0.88425
0.14000		0.91352
0.16000		0.88609
0.18000		0.91374
0.20000		0.92383
0.22000		0.89921
0.24000		0.88272
0.26000		0.90611
0.28000		0.91606
0.30000		0.88069
0.32000		0.89614
0.34000		0.87855
0.36000		0.90265
0.38000		0.92480
0.40000		0.89998
0.42000		0.90541
0.44000		0.88171
0.46000		0.89973
0.48000		0.95083
0.50000		0.93459
0.52000		0.94239
0.54000		0.95694
0.56000		0.93400
0.58000		0.95000
0.60000		0.93284
0.62000		0.90530
0.64000		0.91876
0.66000		0.94701
0.68000		0.97895
0.70000		0.95833
0.72000		0.93636
0.74000		0.92423
0.76000		0.92306
0.78000		0.95702
0.80000		0.93841
0.82000		0.91870
0.84000		0.91448
0.86000		0.92115
0.88000		0.94490
0.90000		0.99208
0.92000		1.01691
0.94000		1.01945
0.96000		1.00860
0.98000		0.98275
1.00000		0.93774
1.02000		0.92019
1.04000		0.88812
1.06000		0.86631
1.08000		0.86669
1.10000		0.87593
1.12000		0.86671
1.14000		0.84577
1.16000		0.83379
1.18000		0.82268
1.20000		0.79926
1.22000		0.78551
1.24000		0.77512
1.26000		0.76187
1.28000		0.74482
1.30000		0.72564
1.32000		0.70909
1.34000		0.69895
1.36000		0.69640
1.38000		0.69534
1.40000		0.68375
1.42000		0.66235
1.44000		0.63583
1.46000		0.60937
1.48000		0.59012
1.50000		0.58322
1.52000		0.58609
1.54000		0.58787
1.56000		0.58399
1.58000		0.57762
1.60000		0.57114
1.62000		0.56237
1.64000		0.56737
1.66000		0.57224
1.68000		0.57457
1.70000		0.57287
1.72000		0.56965
1.74000		0.56463
1.76000		0.55629
1.78000		0.54486
1.80000		0.53266
1.82000		0.52207
1.84000		0.51157
1.86000		0.49795
1.88000		0.49391
1.90000		0.49930
1.92000		0.50640
1.94000		0.51166
1.96000		0.51329
1.98000		0.51041
2.00000		0.50534
2.02000		0.50048
2.04000		0.49324
2.06000		0.48281
2.08000		0.47310
2.10000		0.46624
2.12000		0.46317
2.14000		0.46122
2.16000		0.45825
2.18000		0.45362
2.20000		0.44802
2.22000		0.44066
2.24000		0.43175
2.26000		0.42295
2.28000		0.41564
2.30000		0.40896
2.32000		0.40178
2.34000		0.39769
2.36000		0.39427
2.38000		0.38958
2.40000		0.38366
2.42000		0.37813
2.44000		0.37347
2.46000		0.36807
2.48000		0.36252
2.50000		0.35810
2.52000		0.35295
2.54000		0.34933
2.56000		0.34651
2.58000		0.34774
2.60000		0.35244
2.62000		0.35912
2.64000		0.36572
2.66000		0.37110
2.68000		0.37511
2.70000		0.37765
2.72000		0.37985
2.74000		0.38195
2.76000		0.38599
2.78000		0.38961
2.80000		0.39215
2.82000		0.39579
2.84000		0.39846
2.86000		0.40203
2.88000		0.40758
2.90000		0.41210
2.92000		0.41565
2.94000		0.41838
2.96000		0.42111
2.98000		0.42337
3.00000		0.42464
3.02000		0.42488
3.04000		0.42362
3.06000		0.42101
3.08000		0.41847
3.10000		0.41567
3.12000		0.41144
3.14000		0.40587
3.16000		0.39937
3.18000		0.39264
3.20000		0.38531
3.22000		0.37751
3.24000		0.36938
3.26000		0.36177
3.28000		0.35686
3.30000		0.35250
3.32000		0.34912
3.34000		0.34612
3.36000		0.34287
3.38000		0.33937
3.40000		0.33599
3.42000		0.33260
3.44000		0.32875
3.46000		0.32443
3.48000		0.32015
3.50000		0.31572
3.52000		0.31081
3.54000		0.30614
3.56000		0.30153
3.58000		0.29645
3.60000		0.29072
3.62000		0.28438
3.64000		0.27855
3.66000		0.27213
3.68000		0.26525
3.70000		0.25808
3.72000		0.25209
3.74000		0.24606
3.76000		0.23983
3.78000		0.23349
3.80000		0.22871
3.82000		0.22392
3.84000		0.21914
3.86000		0.21459
3.88000		0.21057
3.90000		0.20677
3.92000		0.20477
3.94000		0.20343
3.96000		0.20188
3.98000		0.20014
4.00000		0.19845
4.02000		0.19671
4.04000		0.19486
4.06000		0.19280
4.08000		0.19074
4.10000		0.19091
4.12000		0.19143
4.14000		0.19187
4.16000		0.19251
4.18000		0.19326
4.20000		0.19382
4.22000		0.19409
4.24000		0.19404
4.26000		0.19368
4.28000		0.19297
4.30000		0.19258
4.32000		0.19233
4.34000		0.19177
4.36000		0.19091
4.38000		0.18972
4.40000		0.18833
4.42000		0.18690
4.44000		0.18542
4.46000		0.18374
4.48000		0.18185
4.50000		0.17983
4.52000		0.17801
4.54000		0.17600
4.56000		0.17396
4.58000		0.17221
4.60000		0.17052
4.62000		0.16876
4.64000		0.16693
4.66000		0.16504
4.68000		0.16337
4.70000		0.16182
4.72000		0.16022
4.74000		0.15859
4.76000		0.15695
4.78000		0.15531
4.80000		0.15366
4.82000		0.15199
4.84000		0.15028
4.86000		0.14847
4.88000		0.14665
4.90000		0.14475
4.92000		0.14326
4.94000		0.14188
4.96000		0.14062
4.98000		0.13997
5.00000		0.13921
5.02000		0.13832
