Time Series matched accelerogram: RSN334_COALINGA.H_H-COW090.AT2
 
Time Step: 0.01 s
 
     Time(sec)	        Acc(g)	                              
       0.00000	       0.00000	                              
       0.01000	       0.00072	                              
       0.02000	       0.00072	                              
       0.03000	       0.00072	                              
       0.04000	       0.00072	                              
       0.05000	       0.00072	                              
       0.06000	       0.00072	                              
       0.07000	       0.00072	                              
       0.08000	       0.00072	                              
       0.09000	       0.00072	                              
       0.10000	       0.00072	                              
       0.11000	       0.00072	                              
       0.12000	       0.00072	                              
       0.13000	       0.00072	                              
       0.14000	       0.00072	                              
       0.15000	       0.00072	                              
       0.16000	       0.00072	                              
       0.17000	       0.00072	                              
       0.18000	       0.00072	                              
       0.19000	       0.00072	                              
       0.20000	       0.00072	                              
       0.21000	       0.00072	                              
       0.22000	       0.00072	                              
       0.23000	       0.00072	                              
       0.24000	       0.00072	                              
       0.25000	       0.00072	                              
       0.26000	       0.00072	                              
       0.27000	       0.00072	                              
       0.28000	       0.00072	                              
       0.29000	       0.00072	                              
       0.30000	       0.00072	                              
       0.31000	       0.00072	                              
       0.32000	       0.00072	                              
       0.33000	       0.00072	                              
       0.34000	       0.00072	                              
       0.35000	       0.00072	                              
       0.36000	       0.00072	                              
       0.37000	       0.00072	                              
       0.38000	       0.00071	                              
       0.39000	       0.00071	                              
       0.40000	       0.00070	                              
       0.41000	       0.00070	                              
       0.42000	       0.00070	                              
       0.43000	       0.00070	                              
       0.44000	       0.00070	                              
       0.45000	       0.00071	                              
       0.46000	       0.00071	                              
       0.47000	       0.00071	                              
       0.48000	       0.00071	                              
       0.49000	       0.00072	                              
       0.50000	       0.00073	                              
       0.51000	       0.00074	                              
       0.52000	       0.00073	                              
       0.53000	       0.00070	                              
       0.54000	       0.00069	                              
       0.55000	       0.00069	                              
       0.56000	       0.00069	                              
       0.57000	       0.00069	                              
       0.58000	       0.00069	                              
       0.59000	       0.00069	                              
       0.60000	       0.00069	                              
       0.61000	       0.00070	                              
       0.62000	       0.00071	                              
       0.63000	       0.00071	                              
       0.64000	       0.00070	                              
       0.65000	       0.00071	                              
       0.66000	       0.00072	                              
       0.67000	       0.00071	                              
       0.68000	       0.00069	                              
       0.69000	       0.00067	                              
       0.70000	       0.00064	                              
       0.71000	       0.00057	                              
       0.72000	       0.00050	                              
       0.73000	       0.00045	                              
       0.74000	       0.00042	                              
       0.75000	       0.00047	                              
       0.76000	       0.00058	                              
       0.77000	       0.00070	                              
       0.78000	       0.00080	                              
       0.79000	       0.00081	                              
       0.80000	       0.00077	                              
       0.81000	       0.00076	                              
       0.82000	       0.00076	                              
       0.83000	       0.00077	                              
       0.84000	       0.00078	                              
       0.85000	       0.00071	                              
       0.86000	       0.00061	                              
       0.87000	       0.00052	                              
       0.88000	       0.00051	                              
       0.89000	       0.00054	                              
       0.90000	       0.00057	                              
       0.91000	       0.00060	                              
       0.92000	       0.00062	                              
       0.93000	       0.00067	                              
       0.94000	       0.00077	                              
       0.95000	       0.00086	                              
       0.96000	       0.00084	                              
       0.97000	       0.00067	                              
       0.98000	       0.00051	                              
       0.99000	       0.00036	                              
       1.00000	       0.00011	                              
       1.01000	      -0.00010	                              
       1.02000	      -0.00019	                              
       1.03000	      -0.00020	                              
       1.04000	      -0.00020	                              
       1.05000	      -0.00013	                              
       1.06000	       0.00009	                              
       1.07000	       0.00037	                              
       1.08000	       0.00063	                              
       1.09000	       0.00082	                              
       1.10000	       0.00102	                              
       1.11000	       0.00120	                              
       1.12000	       0.00128	                              
       1.13000	       0.00125	                              
       1.14000	       0.00094	                              
       1.15000	       0.00054	                              
       1.16000	       0.00051	                              
       1.17000	       0.00085	                              
       1.18000	       0.00127	                              
       1.19000	       0.00146	                              
       1.20000	       0.00145	                              
       1.21000	       0.00141	                              
       1.22000	       0.00130	                              
       1.23000	       0.00093	                              
       1.24000	       0.00043	                              
       1.25000	      -0.00012	                              
       1.26000	      -0.00082	                              
       1.27000	      -0.00166	                              
       1.28000	      -0.00244	                              
       1.29000	      -0.00304	                              
       1.30000	      -0.00365	                              
       1.31000	      -0.00406	                              
       1.32000	      -0.00397	                              
       1.33000	      -0.00348	                              
       1.34000	      -0.00273	                              
       1.35000	      -0.00149	                              
       1.36000	       0.00031	                              
