MEAN MATCHED SPECTRUM
 
 
Accelerograms used:
RSN334_COALINGA.H_H-COW090.AT2
RSN2476_CHICHI.03_CHY054N.AT2
RSN2510_CHICHI.03_CHY107W.AT2
RSN3282_CHICHI.06_CHY047W.AT2
RSN4199_NIIGATA_NIG009NS.AT2
RSN5259_CHUETSU_NIG013NS.AT2
RSN5676_IWATE_MYG017EW.AT2
 
Maximum Misfit: 10.48051%
Average Misfit: 2.84814%
Max Sa:         0.87003g
 
T(sec)		Sa (g)
0.00000		0.32982
0.02000		0.33200
0.04000		0.34700
0.06000		0.40300
0.08000		0.42135
0.10000		0.44800
0.12000		0.46070
0.14000		0.47587
0.16000		0.50733
0.18000		0.52534
0.20000		0.54791
0.22000		0.56311
0.24000		0.58278
0.26000		0.61167
0.28000		0.63433
0.30000		0.65904
0.32000		0.68484
0.34000		0.67830
0.36000		0.70360
0.38000		0.71569
0.40000		0.72795
0.42000		0.75275
0.44000		0.73940
0.46000		0.76260
0.48000		0.76917
0.50000		0.79628
0.52000		0.80324
0.54000		0.80341
0.56000		0.80408
0.58000		0.81575
0.60000		0.80396
0.62000		0.79957
0.64000		0.79809
0.66000		0.80025
0.68000		0.79008
0.70000		0.79393
0.72000		0.80433
0.74000		0.79187
0.76000		0.78851
0.78000		0.80347
0.80000		0.79980
0.82000		0.78576
0.84000		0.78531
0.86000		0.79682
0.88000		0.79759
0.90000		0.79368
0.92000		0.79227
0.94000		0.79781
0.96000		0.79993
0.98000		0.80427
1.00000		0.80874
1.02000		0.79654
1.04000		0.78909
1.06000		0.79532
1.08000		0.81040
1.10000		0.82483
1.12000		0.82959
1.14000		0.82310
1.16000		0.83636
1.18000		0.83891
1.20000		0.85439
1.22000		0.86873
1.24000		0.87003
1.26000		0.86239
1.28000		0.84457
1.30000		0.83204
1.32000		0.81464
1.34000		0.79955
1.36000		0.79553
1.38000		0.78613
1.40000		0.78389
1.42000		0.78459
1.44000		0.79177
1.46000		0.79497
1.48000		0.79132
1.50000		0.79040
1.52000		0.78870
1.54000		0.79319
1.56000		0.80152
1.58000		0.80989
1.60000		0.81215
1.62000		0.81211
1.64000		0.82335
1.66000		0.83051
1.68000		0.83439
1.70000		0.83525
1.72000		0.83156
1.74000		0.82595
1.76000		0.81901
1.78000		0.81353
1.80000		0.80535
1.82000		0.79288
1.84000		0.78125
1.86000		0.76785
1.88000		0.77721
1.90000		0.78830
1.92000		0.79707
1.94000		0.80235
1.96000		0.80374
1.98000		0.80252
2.00000		0.79880
2.02000		0.79669
2.04000		0.79524
2.06000		0.78784
2.08000		0.77393
2.10000		0.75537
2.12000		0.73726
2.14000		0.71892
2.16000		0.70594
2.18000		0.69324
2.20000		0.67854
2.22000		0.66244
2.24000		0.64537
2.26000		0.62779
2.28000		0.61483
2.30000		0.60153
2.32000		0.58870
2.34000		0.58170
2.36000		0.57459
2.38000		0.56719
2.40000		0.55927
2.42000		0.55116
2.44000		0.54313
2.46000		0.53628
2.48000		0.52938
2.50000		0.52130
2.52000		0.51207
2.54000		0.50185
2.56000		0.49080
2.58000		0.47909
2.60000		0.46715
2.62000		0.45885
2.64000		0.45150
2.66000		0.44409
2.68000		0.43635
2.70000		0.42834
2.72000		0.42012
2.74000		0.41325
2.76000		0.40692
2.78000		0.40060
2.80000		0.39438
2.82000		0.38865
2.84000		0.38398
2.86000		0.37935
2.88000		0.37478
2.90000		0.37024
2.92000		0.36578
2.94000		0.36179
2.96000		0.35801
2.98000		0.35397
3.00000		0.34968
3.02000		0.34513
3.04000		0.34030
3.06000		0.33546
3.08000		0.33170
3.10000		0.32770
3.12000		0.32347
3.14000		0.31901
3.16000		0.31452
3.18000		0.31121
3.20000		0.30803
3.22000		0.30462
3.24000		0.30097
3.26000		0.29739
3.28000		0.29420
3.30000		0.29083
3.32000		0.28798
3.34000		0.28486
3.36000		0.28150
3.38000		0.27789
3.40000		0.27405
3.42000		0.26998
3.44000		0.26571
3.46000		0.26204
3.48000		0.25933
3.50000		0.25669
3.52000		0.25374
3.54000		0.25045
3.56000		0.24683
3.58000		0.24287
3.60000		0.23858
3.62000		0.23398
3.64000		0.22910
3.66000		0.22397
3.68000		0.21862
3.70000		0.21309
3.72000		0.20834
3.74000		0.20387
3.76000		0.19954
3.78000		0.19572
3.80000		0.19227
3.82000		0.18867
3.84000		0.18493
3.86000		0.18107
3.88000		0.17714
3.90000		0.17320
3.92000		0.17060
3.94000		0.16801
3.96000		0.16579
3.98000		0.16354
4.00000		0.16125
4.02000		0.15892
4.04000		0.15656
4.06000		0.15418
4.08000		0.15176
4.10000		0.14932
4.12000		0.14726
4.14000		0.14524
4.16000		0.14345
4.18000		0.14202
4.20000		0.14049
4.22000		0.13887
4.24000		0.13739
4.26000		0.13594
4.28000		0.13442
4.30000		0.13282
4.32000		0.13116
4.34000		0.12944
4.36000		0.12766
4.38000		0.12584
4.40000		0.12400
4.42000		0.12245
4.44000		0.12088
4.46000		0.11944
4.48000		0.11803
4.50000		0.11662
4.52000		0.11529
4.54000		0.11462
4.56000		0.11396
4.58000		0.11324
4.60000		0.11245
4.62000		0.11175
4.64000		0.11102
4.66000		0.11023
4.68000		0.10937
4.70000		0.10844
4.72000		0.10745
4.74000		0.10639
4.76000		0.10528
4.78000		0.10453
4.80000		0.10383
4.82000		0.10310
4.84000		0.10256
4.86000		0.10217
4.88000		0.10173
4.90000		0.10125
4.92000		0.10080
4.94000		0.10030
4.96000		0.09975
4.98000		0.09915
5.00000		0.09851
5.02000		0.09782
5.04000		0.09708
5.06000		0.09631
5.08000		0.09549
5.10000		0.09463
5.12000		0.09373
5.14000		0.09280
5.16000		0.09186
5.18000		0.09101
5.20000		0.09013
5.22000		0.08924
5.24000		0.08832
5.26000		0.08740
5.28000		0.08645
5.30000		0.08550
